scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.00695833,22.642375,0.2208668,343.0981185,23,0.2208
pedal,96000,128,48000,3,2128.206583,1790.574646,20.4307832,544.7152509,1784.875,17.1348
american,96000,128,48000,3,6200.596354,5910.622396,59.525725,491.7812756,5665.520833,54.389
british,96000,128,48000,3,5803.527771,5385.727437,55.7138666,499.7725176,5010.625,48.102
modern,96000,128,48000,3,648.6571042,589.0130208,6.2271082,527.1031139,528.9375,5.0778
compressor,96000,128,48000,3,42.29514583,38.030375,0.4060334,387.9653993,39.6875,0.381
delay,96000,128,48000,3,23.39322917,23.23785417,0.224575,701.7035574,23.375,0.2244
room,96000,128,48000,3,23.43835417,23.41579167,0.2250082,945.0660391,23.41666667,0.2248
all-american,96000,128,48000,3,10494.48352,8291.387146,100.7470418,981.2380326,7467.625,71.6892
all-british,96000,128,48000,3,8129.558167,7263.658,78.0437584,972.1423922,6896.333333,66.2048
all-modern,96000,128,48000,3,2659.044271,2413.391479,25.526825,979.9284663,2060.9375,19.785
automation,96000,128,48000,3,9324.09375,9323.263896,89.5113,931.7372833,8520.083333,81.7928
