scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,35.140625,28.31945833,0.33735,343.0981185,24.52083333,0.2354
pedal,96000,128,48000,3,279.3107708,273.3246667,2.6813834,544.714721,266.7916667,2.5612
american,96000,128,48000,3,6566.95225,6330.058167,63.0427416,491.7812756,5698.270833,54.7034
british,96000,128,48000,3,5547.848958,5501.488708,53.25935,499.7725176,5005.5,48.0528
modern,96000,128,48000,3,666.0868125,531.4696042,6.3944334,527.1031139,552.6041667,5.305
compressor,96000,128,48000,3,37.57552083,37.57116667,0.360725,387.9653993,37.54166667,0.3604
delay,96000,128,48000,3,23.47483333,23.3915,0.2253584,701.7035574,23.45833333,0.2252
room,96000,128,48000,3,24.49739583,23.28558333,0.235175,945.0660391,23.5625,0.2262
all-american,96000,128,48000,3,6863.283854,6349.505208,65.887525,981.2379668,5990.958333,57.5132
all-british,96000,128,48000,3,6410.942708,6306.056417,61.54505,972.1424409,5599.583333,53.756
all-modern,96000,128,48000,3,752.8941042,750.3385417,7.2277834,979.9284982,749.0208333,7.1906
automation,96000,128,48000,3,8252.785583,7934.160583,79.2267416,931.737957,7431.875,71.346
