scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.58854167,23.06077083,0.22645,343.0981185,23.33333333,0.224
pedal,96000,128,48000,3,2103.467021,1759.493062,20.1932834,544.7152509,1739.270833,16.697
american,96000,128,48000,3,4432.973958,4027.516479,42.55655,491.7812767,4083.145833,39.1982
british,96000,128,48000,3,3791.065958,3699.785583,36.3942332,499.7725173,3604.458333,34.6028
modern,96000,128,48000,3,522.9731042,519.3810833,5.0205418,527.1031139,515.0416667,4.9444
compressor,96000,128,48000,3,39.3350625,38.2725625,0.3776166,387.9653993,38.20833333,0.3668
delay,96000,128,48000,3,25.36025,23.35070833,0.2434584,701.7035574,23.66666667,0.2272
room,96000,128,48000,3,23.61458333,22.78210417,0.2267,945.0660391,23.60416667,0.2266
all-american,96000,128,48000,3,6160.194438,5766.734375,59.1378666,981.2380322,5635.333333,54.0992
all-british,96000,128,48000,3,5848.251729,5541.823792,56.1432166,972.1423923,5312.604167,51.001
all-modern,96000,128,48000,3,2298.192708,2102.847208,22.06265,979.9284663,2040.645833,19.5902
automation,96000,128,48000,3,6754.574646,6608.540792,64.8439166,931.7372891,6430.4375,61.7322
