scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.37414583,23.04602083,0.2243918,343.0981185,23.375,0.2244
pedal,96000,128,48000,3,870.8550417,859.0416667,8.3602084,543.8886652,854.0208333,8.1986
american,96000,128,48000,3,3850.744792,3808.894104,36.96715,490.3689327,3714.458333,35.6588
british,96000,128,48000,3,2687.314229,2684.015625,25.7982166,496.9353027,2592.229167,24.8854
modern,96000,128,48000,3,309.4566042,306.5034583,2.9707834,525.067438,301.4583333,2.894
compressor,96000,128,48000,3,43.30816667,38.03560417,0.4157584,387.9653993,39.08333333,0.3752
delay,96000,128,48000,3,24.59547917,23.35502083,0.2361166,701.7035574,23.77083333,0.2282
room,96000,128,48000,3,23.3359375,23.32464583,0.224025,945.0660391,23.3125,0.2238
all-american,96000,128,48000,3,4217.945312,4101.907104,40.492275,980.1915815,3949.708333,37.9172
all-british,96000,128,48000,3,3789.597229,3753.5,36.3801334,970.0805692,3619.75,34.7496
all-modern,96000,128,48000,3,1164.382812,1113.199646,11.178075,977.9303304,1084.645833,10.4126
automation,96000,128,48000,3,6302.673604,6022.361104,60.5056666,929.2203028,4717.125,45.2844
