scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.4939375,23.45572917,0.2255418,343.0981185,23.5,0.2256
pedal,96000,128,48000,3,2192.258688,1918.826396,21.0456834,544.7152509,1729.4375,16.6026
american,96000,128,48000,3,6903.069458,6719.065979,66.2694668,491.7812756,5869.416667,56.3464
british,96000,128,48000,3,5993.234375,5976.622396,57.53505,499.7725176,5176.291667,49.6924
modern,96000,128,48000,3,589.1484375,532.6597292,5.655825,527.1031139,540.9166667,5.1928
compressor,96000,128,48000,3,40.99566667,38.11458333,0.3935584,387.9653993,39.52083333,0.3794
delay,96000,128,48000,3,24.8376875,23.5868125,0.2384418,701.7035574,24.125,0.2316
room,96000,128,48000,3,23.95572917,23.68141667,0.229975,945.0660391,23.9375,0.2298
all-american,96000,128,48000,3,8449.372396,8170.097229,81.113975,981.2380326,7565.020833,72.6242
all-british,96000,128,48000,3,9042.620667,8196.868062,86.8091584,972.1423922,7143.229167,68.575
all-modern,96000,128,48000,3,2198.825521,2052.522583,21.108725,979.9284663,2050.520833,19.685
automation,96000,128,48000,3,9990.606771,9750.933167,95.909825,931.7372833,8731.208333,83.8196
