scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.91145833,23.19445833,0.22955,343.0981185,23.39583333,0.2246
pedal,96000,128,48000,3,1909.386292,1814.323792,18.3301084,544.7152509,1747.5625,16.7766
american,96000,128,48000,3,5469.496521,5166.033,52.5071666,491.7812784,4738.833333,45.4928
british,96000,128,48000,3,4185.846354,4128.177083,40.184125,499.7725077,4028.333333,38.672
modern,96000,128,48000,3,537.673625,535.2239583,5.1616668,527.1031139,520.6458333,4.9982
compressor,96000,128,48000,3,39.17795833,37.56683333,0.3761084,387.9653993,38.35416667,0.3682
delay,96000,128,48000,3,23.2100625,22.8915,0.2228166,701.7035574,23.1875,0.2226
room,96000,128,48000,3,27.25520833,23.76389583,0.26165,945.0660391,23.95833333,0.23
all-american,96000,128,48000,3,7223.644104,7159.342875,69.3469834,981.2379985,6738.375,64.6884
all-british,96000,128,48000,3,6864.93575,6667.190979,65.9033832,972.1424094,6237.854167,59.8834
all-modern,96000,128,48000,3,2185.320312,2097.635417,20.979075,979.9284663,2064.854167,19.8226
automation,96000,128,48000,3,7949.253458,7882.940104,76.3128332,931.7372641,7510.666667,72.1024
