scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.51477083,23.469625,0.2257418,343.0981185,23.47916667,0.2254
pedal,96000,128,48000,3,275.5217083,262.9270833,2.6450084,544.714721,261.2708333,2.5082
american,96000,128,48000,3,4703.855021,4397.369792,45.1570082,491.7812767,4131.5625,39.663
british,96000,128,48000,3,4294.068583,3750.801208,41.2230584,499.7725173,3660.041667,35.1364
modern,96000,128,48000,3,543.7595417,524.109375,5.2200916,527.1031139,527.5,5.064
compressor,96000,128,48000,3,43.90625,38.40625,0.4215,387.9653993,39.10416667,0.3754
delay,96000,128,48000,3,22.9279375,22.638875,0.2201082,701.7035574,22.91666667,0.22
room,96000,128,48000,3,23.55816667,23.2899375,0.2261584,945.0660391,23.54166667,0.226
all-american,96000,128,48000,3,4836.778646,4454.934896,46.433075,981.2379683,4266.708333,40.9604
all-british,96000,128,48000,3,4228.287333,4191.972229,40.5915584,972.1424393,4006.583333,38.4632
all-modern,96000,128,48000,3,816.467875,811.0546875,7.8380916,979.9284982,787.8125,7.563
automation,96000,128,48000,3,5610.75,5412.892354,53.8632,931.7379568,5360.5,51.4608
