scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,96000,3,23.90755208,23.49739583,0.11475625,0.8122619674,23.89583333,0.1147
pedal,48000,128,96000,3,2392.67925,2375.315542,11.4848604,-917.698621,2117.552083,10.16425
american,48000,128,96000,3,9239.652344,9225.847656,44.35033125,-2.712087563,8503.78125,40.81815
british,48000,128,96000,3,9547.869792,8976.963104,45.829775,-3.831362572,8275.416667,39.722
modern,48000,128,96000,3,1367.832896,1172.373698,6.5655979,-2.874120134,1091.489583,5.23915
compressor,48000,128,96000,3,23.58333333,23.51085417,0.1132,1.163138035,23.51041667,0.11285
delay,48000,128,96000,3,23.11023958,23.102,0.11092915,0.2027148627,23.10416667,0.1109
room,48000,128,96000,3,23.10242708,23.08636458,0.11089165,-0.7043228292,23.09375,0.11085
all-american,48000,128,96000,3,11848.83984,11449.35329,56.87443125,-3.007234202,10750.48958,51.60235
all-british,48000,128,96000,3,11487.21398,11337.31597,55.1386271,-4.66659313,10409.75,49.9668
all-modern,48000,128,96000,3,2830.278208,2651.927083,13.5853354,-8.645663245,2540.177083,12.19285
automation,48000,128,96000,3,8069.04601,7527.64974,38.73142085,-314.4124523,7207.708333,34.597
