scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,96000,3,23.48177083,23.15451042,0.1127125,0.8122619674,23.25,0.1116
pedal,48000,128,96000,3,516.3741354,502.0060729,2.47859585,-917.7012967,494.2291667,2.3723
american,48000,128,96000,3,6222.727,6069.967885,29.8690896,-2.71208705,5851.822917,28.08875
british,48000,128,96000,3,6215.400167,6089.410156,29.8339208,-3.831362636,5699.21875,27.35625
modern,48000,128,96000,3,1220.821615,1116.916229,5.85994375,-2.874120134,1068.260417,5.12765
compressor,48000,128,96000,3,24.80729167,23.69661458,0.119075,1.163138035,23.97916667,0.1151
delay,48000,128,96000,3,24.11848958,23.48784375,0.11576875,0.2027148627,23.85416667,0.1145
room,48000,128,96000,3,27.08333333,23.7651875,0.13,-0.7043228292,25.13541667,0.12065
all-american,48000,128,96000,3,7166.624573,6950.976125,34.39979795,-3.007229095,6683.364583,32.08015
all-british,48000,128,96000,3,7008.307292,6735.810333,33.639875,-4.666590839,6445.78125,30.93975
all-modern,48000,128,96000,3,1481.36849,1464.875865,7.11056875,-8.645656993,1438.625,6.9054
automation,48000,128,96000,3,4823.027771,4809.253906,23.1505333,-314.4129068,4641.572917,22.27955
