scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.171875,23.10416667,0.111225,447.3413182,23.125,0.111
pedal,48000,128,24000,5,4414.475667,3503.329833,21.1894832,569.1312462,3573.208333,17.1514
american,48000,128,24000,5,13433.87675,13217.11629,64.4826084,527.7748802,11647.20833,55.9066
british,48000,128,24000,5,11072.342,10530.375,53.1472416,517.1875087,9858.791667,47.3222
modern,48000,128,24000,5,1027.637167,987.3784583,4.9326584,569.2498054,969.9583333,4.6558
compressor,48000,128,24000,5,38.05033333,37.99133333,0.1826416,444.7862932,38.04166667,0.1826
delay,48000,128,24000,5,23.46525,23.44620833,0.1126332,646.2340712,23.45833333,0.1126
room,48000,128,24000,5,24.331625,23.484375,0.1167918,974.9436248,23.95833333,0.115
all-american,48000,128,24000,5,15623.75871,15078.625,74.9940418,1061.987731,14441.04167,69.317
all-british,48000,128,24000,5,14914.07462,13586.32638,71.5875582,1042.348242,13565.83333,65.116
all-modern,48000,128,24000,5,4603.076375,4018.81075,22.0947666,1040.663885,3901.416667,18.7268
automation,48000,128,24000,5,18311.99133,17271.125,87.8975584,883.3551894,16530.04167,79.3442
