scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.592,23.44791667,0.1132416,447.3413182,23.54166667,0.113
pedal,48000,128,24000,5,1800.546875,1776.692708,8.642625,569.1312462,1722.166667,8.2664
american,48000,128,24000,5,6343.949625,6015.6875,30.4509582,527.7748802,5809.75,27.8868
british,48000,128,24000,5,5084.088542,4988.684,24.403625,517.1875087,4817.75,23.1252
modern,48000,128,24000,5,546.5208333,515.4479167,2.6233,569.2498054,519.875,2.4954
compressor,48000,128,24000,5,39.482625,38.11804167,0.1895166,444.7862932,38.875,0.1866
delay,48000,128,24000,5,23.609375,23.59375,0.113325,646.2340712,23.58333333,0.1132
room,48000,128,24000,5,23.611125,23.60591667,0.1133334,974.9436248,23.58333333,0.1132
all-american,48000,128,24000,5,8047.477417,7563.408,38.6278916,1061.987731,7296.291667,35.0222
all-british,48000,128,24000,5,7594.163167,6913.482625,36.4519832,1042.348242,6817.333333,32.7232
all-modern,48000,128,24000,5,2200.53125,1986.397583,10.56255,1040.663885,1973.083333,9.4708
automation,48000,128,24000,5,9509.732667,8439.00175,45.6467168,883.3551894,8293.083333,39.8068
