scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,24.41320833,23.640625,0.1171834,169.770272,23.66666667,0.1136
pedal,48000,128,24000,3,518.8785,491.138875,2.4906168,275.0546675,504.5833333,2.422
american,48000,128,24000,3,13322.38196,12307.20487,63.9474334,250.005827,11603.83333,55.6984
british,48000,128,24000,3,11252.39408,11092.10417,54.0114916,255.8792081,10185.33333,48.8896
modern,48000,128,24000,3,1014.842,1012.59375,4.8712416,268.2109358,995.2083333,4.777
compressor,48000,128,24000,3,42.140625,40.19095833,0.202275,193.3142889,39.58333333,0.19
delay,48000,128,24000,3,24.77433333,23.39583333,0.1189168,349.1272705,23.875,0.1146
room,48000,128,24000,3,26.17708333,25.717,0.12565,470.6791806,24.375,0.117
all-american,48000,128,24000,3,14154.54342,13660.71875,67.9418084,498.0065895,12388.91667,59.4668
all-british,48000,128,24000,3,13387.35767,12470.77779,64.2593168,495.5252061,11692.45833,56.1238
all-modern,48000,128,24000,3,1661.831625,1606.864583,7.9767918,501.5789035,1510.125,7.2486
automation,48000,128,24000,3,17052.55208,16828.07292,81.85225,480.8932706,15215.5,73.0344
