scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,28.61979167,24.701375,0.137375,169.770272,27.54166667,0.1322
pedal,48000,128,24000,3,3760.607625,3721.293417,18.0509166,275.0549106,3478.333333,16.696
american,48000,128,24000,3,8934.022583,8397.440958,42.8833084,250.0058275,8124.833333,38.9992
british,48000,128,24000,3,7584.800375,7488.366333,36.4070418,255.8792078,7172.791667,34.4294
modern,48000,128,24000,3,1093.173625,995.3854167,5.2472334,268.2109358,983.625,4.7214
compressor,48000,128,24000,3,39.41491667,38.92533333,0.1891916,193.3142889,38.29166667,0.1838
delay,48000,128,24000,3,23.5,23.38716667,0.1128,349.1272705,23.375,0.1122
room,48000,128,24000,3,23.30208333,23.24825,0.11185,470.6791806,23.33333333,0.112
all-american,48000,128,24000,3,12273.78821,11871.66317,58.9141834,498.0065934,11099.16667,53.276
all-british,48000,128,24000,3,11914.81596,11145.61288,57.1911166,495.5251482,10640.04167,51.0722
all-modern,48000,128,24000,3,4078.538167,3998.053833,19.5769832,501.5789037,3883.083333,18.6388
automation,48000,128,24000,3,14365.39929,13833.54688,68.9539166,480.8929401,12646.125,60.7014
