scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,31.550375,23.295125,0.1514418,169.770272,26.54166667,0.1274
pedal,48000,128,24000,3,1820.348958,1768.135417,8.737675,274.2154835,1731,8.3088
american,48000,128,24000,3,8096.402792,8006.783,38.8627334,248.4182527,7531.416667,36.1508
british,48000,128,24000,3,5349.5295,5265.46875,25.6777416,254.577262,5107.666667,24.5168
modern,48000,128,24000,3,533.454875,531.0677083,2.5605834,267.257662,522.25,2.5068
compressor,48000,128,24000,3,39.079875,37.763875,0.1875834,193.3142889,38.125,0.183
delay,48000,128,24000,3,23.26216667,23.21875,0.1116584,349.1272705,23.20833333,0.1114
room,48000,128,24000,3,22.80383333,22.57120833,0.1094584,470.6791806,22.79166667,0.1094
all-american,48000,128,24000,3,8064.069458,7971.925333,38.7075334,495.5052097,7758.583333,37.2412
all-british,48000,128,24000,3,8049.270833,7569.019083,38.6365,493.1167539,7156.958333,34.3534
all-modern,48000,128,24000,3,2242.447917,2107.821167,10.76375,498.9872059,2053.708333,9.8578
automation,48000,128,24000,3,9678.482667,9432.59375,46.4567168,478.6329729,8883.5,42.6408
