scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,28.658,23.77429167,0.1375584,169.770272,24.25,0.1164
pedal,48000,128,24000,3,3604.506917,3543.463542,17.3016332,275.0549106,3429.875,16.4634
american,48000,128,24000,3,12429.50521,11675.40625,59.661625,250.005827,11358.5,54.5208
british,48000,128,24000,3,10621.00871,10297.217,50.9808418,255.8792081,9845.083333,47.2564
modern,48000,128,24000,3,1010.3785,997.7760417,4.8498168,268.2109358,980.625,4.707
compressor,48000,128,24000,3,38.824625,38.38020833,0.1863582,193.3142889,38.70833333,0.1858
delay,48000,128,24000,3,23.642375,23.60241667,0.1134834,349.1272705,23.625,0.1134
room,48000,128,24000,3,23.96008333,23.72566667,0.1150084,470.6791806,23.91666667,0.1148
all-american,48000,128,24000,3,15529.51908,14986.783,74.5416916,498.0065915,14562.45833,69.8998
all-british,48000,128,24000,3,14520.80038,14095.92362,69.6998418,495.5251481,13589,65.2272
all-modern,48000,128,24000,3,4155.362833,4100.638875,19.9457416,501.5789037,3874.041667,18.5954
automation,48000,128,24000,3,18062.23263,17935.97221,86.6987166,480.8929405,16763.75,80.466
