scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,23.18404167,23.05558333,0.1112834,169.770272,23.125,0.111
pedal,48000,128,24000,3,3559.977417,3518.234375,17.0878916,275.0549106,3389.541667,16.2698
american,48000,128,24000,3,9433.248292,9341.413208,45.2795918,250.0058355,9044.291667,43.4126
british,48000,128,24000,3,8667.914958,8076.854167,41.6059918,255.8791948,7792.416667,37.4036
modern,48000,128,24000,3,1006.75,988.0555417,4.8324,268.2109358,976,4.6848
compressor,48000,128,24000,3,37.408,37.17533333,0.1795584,193.3142889,37.41666667,0.1796
delay,48000,128,24000,3,23.41145833,23.29341667,0.112375,349.1272705,23.41666667,0.1124
room,48000,128,24000,3,23.35241667,23.25175,0.1120916,470.6791806,23.29166667,0.1118
all-american,48000,128,24000,3,13944.94617,12939.21179,66.9357416,498.0065635,12707.875,60.9978
all-british,48000,128,24000,3,12504.12325,12032.70138,60.0197916,495.5251837,11258.95833,54.043
all-modern,48000,128,24000,3,4177.486125,4109.796875,20.0519334,501.5789037,3938.333333,18.904
automation,48000,128,24000,3,15142.12325,14665.11108,72.6821916,480.8928532,13855.58333,66.5068
