scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,23.53295833,23.30383333,0.1129582,169.770272,23.5,0.1128
pedal,48000,128,24000,3,508.9705,508.9375,2.4430584,275.0546675,491.75,2.3604
american,48000,128,24000,3,8902.37325,8870.366333,42.7313916,250.0058275,8187.958333,39.3022
british,48000,128,24000,3,7117.444458,7104.614583,34.1637334,255.8792078,6927.708333,33.253
modern,48000,128,24000,3,1074.706583,1059.072917,5.1585916,268.2109358,988.7083333,4.7458
compressor,48000,128,24000,3,56.89758333,38.45141667,0.2731084,193.3142889,41.08333333,0.1972
delay,48000,128,24000,3,23.783,23.640625,0.1141584,349.1272705,23.75,0.114
room,48000,128,24000,3,23.72566667,23.65970833,0.1138832,470.6791806,23.66666667,0.1136
all-american,48000,128,24000,3,9630.147583,8831.043417,46.2247084,498.0065892,8491.875,40.761
all-british,48000,128,24000,3,8637.711792,8531.699667,41.4610166,495.5252075,7960.333333,38.2096
all-modern,48000,128,24000,3,1706.756958,1584.8455,8.1924334,501.5789035,1505.541667,7.2266
automation,48000,128,24000,3,11701.82642,11089.04167,56.1687668,480.8932724,10553.375,50.6562
