scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,23.32116667,23.22566667,0.1119416,169.770272,23.33333333,0.112
pedal,48000,128,24000,3,4651.737833,3723.975708,22.3283416,275.0549106,3463.416667,16.6244
american,48000,128,24000,3,12974.43404,11773.64413,62.2772834,250.005827,11442.58333,54.9244
british,48000,128,24000,3,10868.02779,10780.31079,52.1665334,255.8792081,9914.458333,47.5894
modern,48000,128,24000,3,1017.244792,1005.956583,4.882775,268.2109358,983.625,4.7214
compressor,48000,128,24000,3,37.795125,37.46179167,0.1814166,193.3142889,37.79166667,0.1814
delay,48000,128,24000,3,23.32466667,23.27429167,0.1119584,349.1272705,23.29166667,0.1118
room,48000,128,24000,3,23.296875,23.140625,0.111825,470.6791806,23.29166667,0.1118
all-american,48000,128,24000,3,16660.09896,15987.75696,79.968475,498.0065915,14714.95833,70.6318
all-british,48000,128,24000,3,15224.56771,15130.93921,73.077925,495.5251481,13850,66.48
all-modern,48000,128,24000,3,4030.34025,3919.293417,19.3456332,501.5789037,3847.625,18.4686
automation,48000,128,24000,3,19122.53646,17973.11283,91.788175,480.8929405,16926.5,81.2472
