scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.37845833,22.11283333,0.1122166,282.9504533,23.375,0.1122
pedal,48000,128,24000,5,3518.668375,3332.15975,16.8896082,458.424851,3358.291667,16.1198
american,48000,128,24000,5,9735.225708,9021.888875,46.7290834,416.6763925,8905.291667,42.7454
british,48000,128,24000,5,8286.256917,7968.335042,39.7740332,426.4653247,7768.541667,37.289
modern,48000,128,24000,5,1043.31425,997.5850417,5.0079084,447.0182263,992.2916667,4.763
compressor,48000,128,24000,5,39.59204167,37.89408333,0.1900418,322.1904815,39.25,0.1884
delay,48000,128,24000,5,23.71875,23.39408333,0.11385,581.8787842,23.66666667,0.1136
room,48000,128,24000,5,22.89583333,22.77779167,0.1099,784.4653009,22.875,0.1098
all-american,48000,128,24000,5,13971.75346,13125.59029,67.0644166,830.0109392,12528.45833,60.1366
all-british,48000,128,24000,5,11854.56771,11362.83508,56.901925,825.8753061,11149.20833,53.5162
all-modern,48000,128,24000,5,4181.288208,3929.930542,20.0701834,835.9648395,3853.541667,18.497
automation,48000,128,24000,5,15878.46529,14687.87675,76.2166334,801.4880887,13980,67.104
