scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,22.734375,22.41841667,0.109125,282.9504533,22.58333333,0.1084
pedal,48000,128,24000,5,487.3333333,480.59725,2.3392,458.4244458,477.1666667,2.2904
american,48000,128,24000,5,11728.08504,11383.74479,56.2948082,416.6763783,11243.20833,53.9674
british,48000,128,24000,5,10444.45138,9784.420167,50.1333666,426.4653469,9770.75,46.8996
modern,48000,128,24000,5,1015.142375,974.4184167,4.8726834,447.0182263,980.2916667,4.7054
compressor,48000,128,24000,5,38.09720833,37.19095833,0.1828666,322.1904815,38.04166667,0.1826
delay,48000,128,24000,5,23.920125,23.43404167,0.1148166,581.8787842,23.79166667,0.1142
room,48000,128,24000,5,23.62329167,23.55904167,0.1133918,784.4653009,23.58333333,0.1132
all-american,48000,128,24000,5,12827.90971,11674.06425,61.5739666,830.0109824,11768.875,56.4906
all-british,48000,128,24000,5,11621.48438,11426.75521,55.783125,825.8753435,10823.20833,51.9514
all-modern,48000,128,24000,5,1445.692708,1390.875,6.939325,835.9648392,1423.25,6.8316
automation,48000,128,24000,5,15735.52429,14833.39758,75.5305166,801.4887843,14350.79167,68.8838
