scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.78645833,22.84375,0.114175,282.9504533,23.79166667,0.1142
pedal,48000,128,24000,5,3378.772542,3364.763917,16.2181082,458.424851,3321.583333,15.9436
american,48000,128,24000,5,8402.619792,8063.611125,40.332575,416.6763791,7961.625,38.2158
british,48000,128,24000,5,7669.637167,7129.9045,36.8142584,426.4653463,6990.666667,33.5552
modern,48000,128,24000,5,974.2569167,958.579875,4.6764332,447.0182263,956.9166667,4.5932
compressor,48000,128,24000,5,38.47395833,37.27604167,0.184675,322.1904815,38.08333333,0.1828
delay,48000,128,24000,5,22.7205,22.52775,0.1090584,581.8787842,22.66666667,0.1088
room,48000,128,24000,5,24.39758333,23.41666667,0.1171084,784.4653009,23.83333333,0.1144
all-american,48000,128,24000,5,11296.54688,11106.12325,54.223425,830.0109891,10866.5,52.1592
all-british,48000,128,24000,5,11046.5955,10516.59375,53.0236584,825.875247,10381.16667,49.8296
all-modern,48000,128,24000,5,3762.21875,3753.164917,18.05865,835.9648395,3721.208333,17.8618
automation,48000,128,24000,5,12734.51908,12584.60242,61.1256916,801.4882335,12319,59.1312
