scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.09725,23.03995833,0.1108668,282.9504533,23.125,0.111
pedal,48000,128,24000,5,1715.734375,1698.253458,8.235525,457.0258058,1695.541667,8.1386
american,48000,128,24000,5,7339.069458,7307.75175,35.2275334,414.0304212,7198.291667,34.5518
british,48000,128,24000,5,5788.361125,5581.913208,27.7841334,424.2954366,5216.458333,25.039
modern,48000,128,24000,5,583.8420417,524.6354167,2.8024418,445.4294367,520.6666667,2.4992
compressor,48000,128,24000,5,37.96704167,37.78125,0.1822418,322.1904815,37.91666667,0.182
delay,48000,128,24000,5,23.4375,23.11458333,0.1125,581.8787842,23.41666667,0.1124
room,48000,128,24000,5,23.46183333,23.357625,0.1126168,784.4653009,23.41666667,0.1124
all-american,48000,128,24000,5,8182.385417,7870.835042,39.27545,825.8420162,7775.875,37.3242
all-british,48000,128,24000,5,7707.941,7157.069458,36.9981168,821.8612565,7044.166667,33.812
all-modern,48000,128,24000,5,2128.583333,2055.364583,10.2172,831.6453432,2031.916667,9.7532
automation,48000,128,24000,5,9187.190958,8822.967,44.0985166,797.7216215,8754.291667,42.0206
