scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.576375,23.4375,0.1131666,282.9504533,23.5,0.1128
pedal,48000,128,24000,5,3432.329875,3394.098958,16.4751834,458.424851,3369.416667,16.1732
american,48000,128,24000,5,11929.03125,11607.26737,57.25935,416.6763783,11375.16667,54.6008
british,48000,128,24000,5,10072.91496,9791.482625,48.3499918,426.4653469,9741.625,46.7598
modern,48000,128,24000,5,1023.894083,1006.4965,4.9146916,447.0182263,990.5833333,4.7548
compressor,48000,128,24000,5,38.480875,37.921875,0.1847082,322.1904815,38.20833333,0.1834
delay,48000,128,24000,5,23.73091667,23.05554167,0.1139084,581.8787842,23.70833333,0.1138
room,48000,128,24000,5,23.80208333,23.60416667,0.11425,784.4653009,23.79166667,0.1142
all-american,48000,128,24000,5,15249.27083,14737.64583,73.1965,830.0109858,14333.58333,68.8012
all-british,48000,128,24000,5,14703.93925,14281.54688,70.5789084,825.8752468,13498.875,64.7946
all-modern,48000,128,24000,5,3934.909708,3899.043375,18.8875666,835.9648395,3801.541667,18.2474
automation,48000,128,24000,5,17458.44271,16840.88196,83.800525,801.4882342,16410.16667,78.7688
