scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.02604167,22.61979167,0.110525,282.9504533,23,0.1104
pedal,48000,128,24000,5,3865.09725,3638.517333,18.5524668,458.424851,3371.541667,16.1834
american,48000,128,24000,5,11973.72396,11462.6285,57.473875,416.6763783,11091.20833,53.2378
british,48000,128,24000,5,10535.15104,9796.078125,50.568725,426.4653469,9745.791667,46.7798
modern,48000,128,24000,5,943.267375,924.0659583,4.5276834,447.0182263,933.6666667,4.4816
compressor,48000,128,24000,5,38.23266667,36.17016667,0.1835168,322.1904815,38.04166667,0.1826
delay,48000,128,24000,5,25.80033333,22.75866667,0.1238416,581.8787842,24.16666667,0.116
room,48000,128,24000,5,22.85066667,22.33333333,0.1096832,784.4653009,22.83333333,0.1096
all-american,48000,128,24000,5,15398.02083,14406.19617,73.9105,830.0109858,14352.45833,68.8918
all-british,48000,128,24000,5,14672.20142,13801.8125,70.4265668,825.8752468,13440.25,64.5132
all-modern,48000,128,24000,5,4081.520833,3998.09375,19.5913,835.9648395,3849.791667,18.479
automation,48000,128,24000,5,17777.10242,17199.81771,85.3300916,801.4882342,16468.54167,79.049
