scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,24.02254167,23.298625,0.1153082,282.9504533,24,0.1152
pedal,48000,128,24000,5,507.1666667,489.1944583,2.4344,458.4244458,491.9166667,2.3612
american,48000,128,24000,5,14124.49654,8340.651042,67.7975834,416.6763791,8465.333333,40.6336
british,48000,128,24000,5,7614.189208,7601.90275,36.5481082,426.4653463,7162,34.3776
modern,48000,128,24000,5,1094.37325,1034.663167,5.2529916,447.0182263,993.75,4.77
compressor,48000,128,24000,5,53.38891667,39.951375,0.2562668,322.1904815,41.41666667,0.1988
delay,48000,128,24000,5,25.48783333,24.04166667,0.1223416,581.8787842,24.625,0.1182
room,48000,128,24000,5,23.84029167,22.923625,0.1144334,784.4653009,23.83333333,0.1144
all-american,48000,128,24000,5,9933.616333,9684.532958,47.6813584,830.0109819,8688.625,41.7054
all-british,48000,128,24000,5,8797.036458,8369.756958,42.225775,825.8753458,8090.791667,38.8358
all-modern,48000,128,24000,5,1726.305542,1600.78125,8.2862666,835.9648392,1506.916667,7.2332
automation,48000,128,24000,5,11548.76733,10919.22746,55.4340832,801.4887873,10595.625,50.859
