scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,48000,128,192000,0,0,-inf,-inf,-36.28258738,0,true
pedal,48000,128,192000,8.605420589e-07,4.957910016e-08,-146.0940272,-107.7884433,-38.30558391,11300,true
american,48000,128,192000,1.490116119e-08,2.596094565e-10,-191.7135898,-155.8430283,-35.87056151,30376,true
british,48000,128,192000,1.490116119e-08,2.106358214e-10,-193.5293554,-160.299764,-33.22959143,10177,true
modern,48000,128,192000,0,0,-inf,-inf,-33.77866826,0,true
compressor,48000,128,192000,0,0,-inf,-inf,-32.88000473,0,true
delay,48000,128,192000,0,0,-inf,-inf,-35.51766627,0,true
room,48000,128,192000,0,0,-inf,-inf,-36.165448,0,true
all-american,48000,128,192000,4.611909389e-06,1.904742046e-07,-134.4032766,-101.3748044,-33.02847225,343505,true
all-british,48000,128,192000,3.49059701e-06,1.204890544e-07,-138.3810481,-108.5503317,-29.83071635,334379,true
all-modern,48000,128,192000,3.099441528e-06,6.055565873e-08,-144.3569053,-113.9513239,-30.40558147,316553,true
automation,48000,128,192000,3.403052688e-06,6.260748743e-08,-144.0674745,-114.69168,-29.37579454,180250,true
