rate,mode,peak_voltage_error,rms_voltage_error,peak_lookup_residual,peak_reference_residual,minimum_derivative,maximum_abs_voltage
64000,inverse-domain,0,0,3.3089531115138016e-11,0,0.004688681251836635,0.69600190669252449
64000,sequence-0,6.710961686603905e-13,3.6803690182455186e-15,6.6873589998905913e-16,9.0945162422494717e-13,0,0.0012103496753462755
64000,sequence-1,1.6774871736680019e-05,1.8671822599696888e-06,3.308575635685429e-11,4.9380672502707945e-05,0,0.60101938342689876
64000,sequence-2,2.0958131291715087e-05,1.8235824229624289e-06,3.308842089211339e-11,4.9422893662276479e-05,0,0.68621088731770785
64000,sequence-3,8.7196172504633296e-10,2.9420204063817997e-12,7.4160122487398894e-13,1.5042052048386267e-09,0,0.64894002205463197
64000,sequence-4,1.0565603947298996e-11,4.4269459247049551e-14,1.7645773731089776e-11,6.0621274154572752e-13,0,0.6691630379014909
88200,inverse-domain,0,0,1.5147105791868398e-11,0,0.0061392061508618815,0.69825307315784535
88200,sequence-0,2.74734943614551e-13,1.4514077187002119e-15,2.0079424234431542e-16,3.4569425387011792e-13,0,0.001212387129591364
88200,sequence-1,1.5111448016469353e-05,1.9196103186010691e-06,1.5136225606227072e-11,5.1021361362479922e-05,0,0.60101797706555071
88200,sequence-2,2.4589163093696742e-05,2.2663101908559697e-06,1.5149437260220111e-11,5.1044730822957796e-05,0,0.68520086978333017
88200,sequence-3,1.5564965982761692e-10,5.0274005991266777e-13,3.4813263383171034e-12,3.042703866640295e-10,0,0.64561823481795211
88200,sequence-4,5.9833915599938337e-11,2.0858064027607821e-13,2.4806823262224498e-12,1.467134191912578e-10,0,0.672843397734048
176400,inverse-domain,0,0,3.1386004906153175e-12,0,0.010399368917586077,0.70557755863302762
176400,sequence-0,8.1194624418634751e-13,4.2462782675916601e-15,1.6371452804531117e-17,9.1657649848625273e-13,0,0.001214129268114665
176400,sequence-1,1.7478265911474722e-05,2.8567930024204283e-06,3.1395996913374802e-12,5.8302299140722269e-05,0,0.60101743315671352
176400,sequence-2,2.6376564886423925e-05,3.609131542078482e-06,3.1397107136399427e-12,5.8299102520864565e-05,0,0.68371172565364324
176400,sequence-3,8.678372465098505e-10,4.3007411974505886e-12,7.4218409196191715e-14,1.0951974882544846e-09,0,0.63144760554250223
176400,sequence-4,4.8746137604194217e-07,1.8226321621019162e-09,6.8939298714099095e-13,3.1379360285743729e-06,0,0.68258184919300524
352800,inverse-domain,0,0,8.8007379162036159e-13,0,0.015968812291765788,0.71728117349723619
352800,sequence-0,7.4857231682294446e-13,9.3142117566411036e-15,5.6378512969246231e-18,7.9680098659739425e-13,0,0.0012145257765106944
352800,sequence-1,1.9952917247323398e-05,5.4194405399508181e-06,8.8073992543513668e-13,7.0048323924098987e-05,0,0.60101732103330374
352800,sequence-2,3.1411609937970209e-05,5.5042416876667012e-06,8.8040685852774914e-13,7.0049658336790444e-05,0,0.68132722781641863
352800,sequence-3,9.9705358518331622e-06,6.4772374146474932e-08,8.7541085491693593e-14,2.0061695128581469e-05,0,0.585285083108952
352800,sequence-4,4.5760065443545273e-06,1.567698705662416e-08,2.0650148258027912e-13,2.0061695128581469e-05,0,0.6800044637066639
384000,inverse-domain,0,0,7.7315931434895901e-13,0,0.016700260079844001,0.71905539290621368
384000,sequence-0,9.0911956649775927e-13,8.0079563139799854e-15,4.5536491244391186e-18,9.6294591779261631e-13,0,0.0012145291163778444
384000,sequence-1,2.0019906607382509e-05,5.4805449023188849e-06,7.7349238125634656e-13,7.1775337043389342e-05,0,0.60101760671004478
384000,sequence-2,3.2873060411942046e-05,5.748373062648351e-06,7.7360340355880908e-13,7.1773360136084818e-05,0,0.68087321619878871
384000,sequence-3,2.1131426360898597e-05,1.4360482880689881e-07,2.9332092310596636e-13,5.8509118743277355e-05,0,0.57248515391603738
384000,sequence-4,1.7427338782849411e-05,5.6737950638387383e-08,2.9332092310596636e-13,5.8509118743277355e-05,0,0.68055280234983229
705600,inverse-domain,0,0,3.6071146070071336e-13,0,0.021921701612906682,0.73403127207637209
705600,sequence-0,8.3127639251211432e-13,1.4765681422675278e-14,1.3010426069826053e-18,8.5805970117394893e-13,0,0.001214560949499873
705600,sequence-1,2.1474294490730905e-05,5.5688055273683748e-06,3.6115554991056342e-13,8.5890888107065244e-05,0,0.60101547643535469
705600,sequence-2,3.4737989351385501e-05,7.3357997462206697e-06,3.6115554991056342e-13,8.58748310261781e-05,0,0.67693961015528437
705600,sequence-3,5.8891892318798532e-12,1.000454456564497e-13,2.8643754035329039e-14,9.9910849859177238e-13,0,0.37378201066843891
705600,sequence-4,8.0649870093374432e-07,1.9489023116536931e-08,1.333377852574813e-13,4.9856189051622479e-06,0,0.67487362512904292
768000,inverse-domain,0,0,3.3162361745553426e-13,0,0.022617829598828059,0.73641814415405427
768000,sequence-0,9.5461918957433003e-13,1.3281221836568561e-14,1.3010426069826053e-18,9.8288025203297699e-13,0,0.0012145747565089266
768000,sequence-1,2.151971612318615e-05,4.3608801707063669e-06,3.3195668436292181e-13,8.809759183225907e-05,0,0.60101558195873006
768000,sequence-2,3.6104786479473905e-05,7.6217520738426018e-06,3.3195668436292181e-13,8.8068729370172072e-05,0,0.67600523024213155
768000,sequence-3,6.2826059557609027e-12,1.1144265597667425e-13,2.3814283878209608e-14,9.8134260895691748e-13,0,0.34458099422873067
768000,sequence-4,3.0495335445746008e-07,3.4546311619927433e-08,7.2220007751866433e-14,2.2728448231257303e-06,0,0.6671816146055265
