scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,44100,128,88200,0,0,-inf,-inf,-11.07658,0,true
pedal,44100,128,88200,8.158385754e-07,6.288436526e-08,-144.0291464,-111.6513245,-32.3778219,75938,true
american,44100,128,88200,0,0,-inf,-inf,-27.79044956,0,true
british,44100,128,88200,0,0,-inf,-inf,-27.46644704,0,true
modern,44100,128,88200,0,0,-inf,-inf,-24.91600378,0,true
compressor,44100,128,88200,0,0,-inf,-inf,-15.34951151,0,true
delay,44100,128,88200,0,0,-inf,-inf,-11.40286638,0,true
room,44100,128,88200,0,0,-inf,-inf,-11.029893,0,true
all-american,44100,128,88200,2.801418304e-06,2.06255394e-07,-133.7118937,-106.6432401,-27.06865362,152787,true
all-british,44100,128,88200,1.594424248e-06,1.412427389e-07,-137.0006774,-109.175467,-27.8252104,151964,true
all-modern,44100,128,88200,2.078711987e-06,2.107668348e-07,-133.5239545,-109.3767046,-24.14724993,152171,true
automation,44100,128,88200,9.134411812e-06,5.236413506e-07,-125.6193213,-110.1635883,-15.45573297,141479,true
bypass,48000,128,96000,0,0,-inf,-inf,-11.07391317,0,true
pedal,48000,128,96000,8.530914783e-07,6.922352204e-08,-143.1949262,-110.8174593,-32.37746683,85129,true
american,48000,128,96000,0,0,-inf,-inf,-27.78751099,0,true
british,48000,128,96000,0,0,-inf,-inf,-27.46414038,0,true
modern,48000,128,96000,0,0,-inf,-inf,-24.9155875,0,true
compressor,48000,128,96000,0,0,-inf,-inf,-15.3475506,0,true
delay,48000,128,96000,0,0,-inf,-inf,-11.47343794,0,true
room,48000,128,96000,0,0,-inf,-inf,-11.19633053,0,true
all-american,48000,128,96000,2.963468432e-06,2.209368369e-07,-133.1146374,-105.758722,-27.35591532,166404,true
all-british,48000,128,96000,1.966953278e-06,1.514075822e-07,-136.3970475,-108.4414418,-27.95560566,165628,true
all-modern,48000,128,96000,2.535991371e-06,2.265923837e-07,-132.8950938,-108.6225813,-24.27251259,165965,true
automation,48000,128,96000,9.059906006e-06,5.096207045e-07,-125.8550587,-110.3749777,-15.48008101,154355,true
bypass,96000,128,192000,0,0,-inf,-inf,-11.07554825,0,true
pedal,96000,128,192000,8.512288332e-07,6.854124966e-08,-143.2809596,-110.8999334,-32.38102623,166714,true
american,96000,128,192000,0,0,-inf,-inf,-27.78940498,0,true
british,96000,128,192000,0,0,-inf,-inf,-27.46496554,0,true
modern,96000,128,192000,0,0,-inf,-inf,-24.91492633,0,true
compressor,96000,128,192000,0,0,-inf,-inf,-15.34791779,0,true
delay,96000,128,192000,0,0,-inf,-inf,-11.48502332,0,true
room,96000,128,192000,0,0,-inf,-inf,-11.15367968,0,true
all-american,96000,128,192000,2.986285836e-06,2.191769196e-07,-133.1841036,-105.7028729,-27.48123073,333123,true
all-british,96000,128,192000,1.568347216e-06,1.515157647e-07,-136.3908436,-108.398888,-27.99195554,331305,true
all-modern,96000,128,192000,2.343207598e-06,2.25724049e-07,-132.9284434,-108.6298211,-24.29862224,333245,true
automation,96000,128,192000,8.910894394e-06,5.081559287e-07,-125.8800601,-110.3868049,-15.4932552,308066,true
