scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,44100,127,30870,0,0,-inf,-inf,-10.90968265,0,true
pedal,44100,127,30870,0,0,-inf,-inf,-32.39265627,0,true
american,44100,127,30870,0,0,-inf,-inf,-29.09773166,0,true
british,44100,127,30870,0,0,-inf,-inf,-28.76049893,0,true
modern,44100,127,30870,0,0,-inf,-inf,-25.61141836,0,true
compressor,44100,127,30870,0,0,-inf,-inf,-13.95761011,0,true
delay,44100,127,30870,0,0,-inf,-inf,-10.55580996,0,true
room,44100,127,30870,0,0,-inf,-inf,-9.891976142,0,true
all-american,44100,127,30870,0,0,-inf,-inf,-28.07578561,0,true
all-british,44100,127,30870,0,0,-inf,-inf,-27.6522757,0,true
all-modern,44100,127,30870,0,0,-inf,-inf,-24.17356474,0,true
automation,44100,127,30870,0,0,-inf,-inf,-19.18736304,0,true
bypass,48000,127,33600,0,0,-inf,-inf,-10.90573926,0,true
pedal,48000,127,33600,0,0,-inf,-inf,-32.38884617,0,true
american,48000,127,33600,0,0,-inf,-inf,-29.08572242,0,true
british,48000,127,33600,0,0,-inf,-inf,-28.74880718,0,true
modern,48000,127,33600,0,0,-inf,-inf,-25.61128966,0,true
compressor,48000,127,33600,0,0,-inf,-inf,-13.95672031,0,true
delay,48000,127,33600,0,0,-inf,-inf,-10.5519741,0,true
room,48000,127,33600,0,0,-inf,-inf,-9.941402892,0,true
all-american,48000,127,33600,0,0,-inf,-inf,-28.11507926,0,true
all-british,48000,127,33600,0,0,-inf,-inf,-27.67826727,0,true
all-modern,48000,127,33600,0,0,-inf,-inf,-24.18812359,0,true
automation,48000,127,33600,0,0,-inf,-inf,-19.21118901,0,true
bypass,96000,127,67200,0,0,-inf,-inf,-10.90659305,0,true
pedal,96000,127,67200,0,0,-inf,-inf,-32.39242618,0,true
american,96000,127,67200,0,0,-inf,-inf,-29.08325663,0,true
british,96000,127,67200,0,0,-inf,-inf,-28.75152029,0,true
modern,96000,127,67200,0,0,-inf,-inf,-25.60618131,0,true
compressor,96000,127,67200,0,0,-inf,-inf,-13.95680586,0,true
delay,96000,127,67200,0,0,-inf,-inf,-10.55235324,0,true
room,96000,127,67200,0,0,-inf,-inf,-9.889636291,0,true
all-american,96000,127,67200,0,0,-inf,-inf,-28.06901913,0,true
all-british,96000,127,67200,0,0,-inf,-inf,-27.66349631,0,true
all-modern,96000,127,67200,0,0,-inf,-inf,-24.16649293,0,true
automation,96000,127,67200,0,0,-inf,-inf,-19.22412829,0,true
