scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,44100,127,30870,0,0,-inf,-inf,-11.01367051,0,true
pedal,44100,127,30870,0,0,-inf,-inf,-32.36660343,0,true
american,44100,127,30870,0,0,-inf,-inf,-28.30469838,0,true
british,44100,127,30870,0,0,-inf,-inf,-27.92420873,0,true
modern,44100,127,30870,0,0,-inf,-inf,-25.15680016,0,true
compressor,44100,127,30870,0,0,-inf,-inf,-14.34020984,0,true
delay,44100,127,30870,0,0,-inf,-inf,-10.6583943,0,true
room,44100,127,30870,0,0,-inf,-inf,-10.6023268,0,true
all-american,44100,127,30870,0,0,-inf,-inf,-27.61741816,0,true
all-british,44100,127,30870,0,0,-inf,-inf,-27.34217401,0,true
all-modern,44100,127,30870,0,0,-inf,-inf,-23.86534613,0,true
automation,44100,127,30870,0,0,-inf,-inf,-19.07783177,0,true
bypass,48000,127,33600,0,0,-inf,-inf,-11.01249689,0,true
pedal,48000,127,33600,0,0,-inf,-inf,-32.36433859,0,true
american,48000,127,33600,0,0,-inf,-inf,-28.29375703,0,true
british,48000,127,33600,0,0,-inf,-inf,-27.91326761,0,true
modern,48000,127,33600,0,0,-inf,-inf,-25.15667722,0,true
compressor,48000,127,33600,0,0,-inf,-inf,-14.34008417,0,true
delay,48000,127,33600,0,0,-inf,-inf,-10.65725148,0,true
room,48000,127,33600,0,0,-inf,-inf,-10.68086932,0,true
all-american,48000,127,33600,0,0,-inf,-inf,-27.71836938,0,true
all-british,48000,127,33600,0,0,-inf,-inf,-27.39056939,0,true
all-modern,48000,127,33600,0,0,-inf,-inf,-23.90776455,0,true
automation,48000,127,33600,0,0,-inf,-inf,-19.11704847,0,true
bypass,96000,127,67200,0,0,-inf,-inf,-11.00967451,0,true
pedal,96000,127,67200,0,0,-inf,-inf,-32.36571313,0,true
american,96000,127,67200,0,0,-inf,-inf,-28.29548168,0,true
british,96000,127,67200,0,0,-inf,-inf,-27.91373327,0,true
modern,96000,127,67200,0,0,-inf,-inf,-25.15149679,0,true
compressor,96000,127,67200,0,0,-inf,-inf,-14.3387889,0,true
delay,96000,127,67200,0,0,-inf,-inf,-10.65378705,0,true
room,96000,127,67200,0,0,-inf,-inf,-10.62714712,0,true
all-american,96000,127,67200,0,0,-inf,-inf,-27.70356007,0,true
all-british,96000,127,67200,0,0,-inf,-inf,-27.38091771,0,true
all-modern,96000,127,67200,0,0,-inf,-inf,-23.89233806,0,true
automation,96000,127,67200,0,0,-inf,-inf,-19.13833106,0,true
