scenario,rate,frequency_hz,alias_db,pass_existing_rail,latency_samples,internal_rate
pedal,44100,1160.10131836,-70.1598351775,true,20.125,352800
modern,44100,1160.10131836,-70.7592119098,true,20.125,352800
american,44100,1160.10131836,-72.6736860223,true,20.125,352800
british,44100,1160.10131836,-76.8877949503,true,20.125,352800
pedal-modern,44100,1160.10131836,-81.6240741773,true,20.125,352800
modern-quiet,44100,1160.10131836,-82.9620693074,true,20.125,352800
pedal,48000,1262.6953125,-72.361377326,true,20.125,384000
modern,48000,1262.6953125,-72.696375393,true,20.125,384000
american,48000,1262.6953125,-70.8183216793,true,20.125,384000
british,48000,1262.6953125,-74.3585383829,true,20.125,384000
pedal-modern,48000,1262.6953125,-82.1647035793,true,20.125,384000
modern-quiet,48000,1262.6953125,-83.2488435853,true,20.125,384000
pedal,96000,1265.625,-91.4837154019,true,17.25,384000
modern,96000,1265.625,-72.6845369896,true,17.25,384000
american,96000,1265.625,-71.9835431514,true,17.25,384000
british,96000,1265.625,-74.6475027415,true,17.25,384000
pedal-modern,96000,1265.625,-83.0432420853,true,17.25,384000
modern-quiet,96000,1265.625,-83.593242643,true,17.25,384000
