scenario,rate,frequency_hz,alias_db,pass_existing_rail,latency_samples,internal_rate
pedal,44100,1160.10131836,-70.5748911958,true,17.25,176400
modern,44100,1160.10131836,-58.7443042728,false,17.25,176400
american,44100,1160.10131836,-60.7925521846,false,17.25,176400
british,44100,1160.10131836,-64.4740444903,false,17.25,176400
pedal-modern,44100,1160.10131836,-69.905795688,false,17.25,176400
modern-quiet,44100,1160.10131836,-70.7516583137,true,17.25,176400
pedal,48000,1262.6953125,-72.7861994306,true,17.25,192000
modern,48000,1262.6953125,-61.283922546,false,17.25,192000
american,48000,1262.6953125,-62.1492226804,false,17.25,192000
british,48000,1262.6953125,-64.2189342803,false,17.25,192000
pedal-modern,48000,1262.6953125,-71.6367456114,true,17.25,192000
modern-quiet,48000,1262.6953125,-71.1487835377,true,17.25,192000
pedal,96000,1265.625,-81.8403208613,true,11.5,192000
modern,96000,1265.625,-61.0229943185,false,11.5,192000
american,96000,1265.625,-62.2051431702,false,11.5,192000
british,96000,1265.625,-63.8511769182,false,11.5,192000
pedal-modern,96000,1265.625,-71.5918069114,true,11.5,192000
modern-quiet,96000,1265.625,-71.2904924749,true,11.5,192000
