scenario,rate,frequency_hz,baseline_alias_db,candidate_alias_db,degradation_db,passes_original_minus70db_rail,baseline_latency_samples,candidate_latency_samples
pedal,44100,1160.10131836,-70.1598351775,-70.5748911958,-0.4150560183000067,true,20.125,17.25
modern,44100,1160.10131836,-70.7592119098,-58.7443042728,12.014907637,false,20.125,17.25
american,44100,1160.10131836,-72.6736860223,-60.7925521846,11.881133837700006,false,20.125,17.25
british,44100,1160.10131836,-76.8877949503,-64.4740444903,12.413750460000003,false,20.125,17.25
pedal-modern,44100,1160.10131836,-81.6240741773,-69.905795688,11.718278489300005,false,20.125,17.25
modern-quiet,44100,1160.10131836,-82.9620693074,-70.7516583137,12.210410993699995,true,20.125,17.25
pedal,48000,1262.6953125,-72.361377326,-72.7861994306,-0.42482210460001113,true,20.125,17.25
modern,48000,1262.6953125,-72.696375393,-61.283922546,11.412452846999997,false,20.125,17.25
american,48000,1262.6953125,-70.8183216793,-62.1492226804,8.669098998899997,false,20.125,17.25
british,48000,1262.6953125,-74.3585383829,-64.2189342803,10.13960410259999,false,20.125,17.25
pedal-modern,48000,1262.6953125,-82.1647035793,-71.6367456114,10.527957967899994,true,20.125,17.25
modern-quiet,48000,1262.6953125,-83.2488435853,-71.1487835377,12.100060047599996,true,20.125,17.25
pedal,96000,1265.625,-91.4837154019,-81.8403208613,9.6433945406,true,17.25,11.5
modern,96000,1265.625,-72.6845369896,-61.0229943185,11.661542671100008,false,17.25,11.5
american,96000,1265.625,-71.9835431514,-62.2051431702,9.778399981199996,false,17.25,11.5
british,96000,1265.625,-74.6475027415,-63.8511769182,10.796325823300009,false,17.25,11.5
pedal-modern,96000,1265.625,-83.0432420853,-71.5918069114,11.451435173899995,true,17.25,11.5
modern-quiet,96000,1265.625,-83.593242643,-71.2904924749,12.30275016809999,true,17.25,11.5
