scenario,rate,alignment_delay_samples,steady_peak,steady_rms_dbfs,steady_relative_rms_db,steady_level_delta_db
all-american,44100,2.875,0.0035864472859112803,-61.67760677316494,-36.539940900295406,-0.008049050545685759
all-american,48000,2.875,0.003226307127533891,-62.57857385623616,-37.1252688886651,-0.007084289610085327
all-american,96000,5.75,0.003163594487005549,-62.65798583378622,-37.0690900868718,-0.007335775186159757
all-british,44100,2.875,0.0022810064813928443,-65.71803747196435,-39.58297899036659,-0.0016076089915179272
all-british,48000,2.875,0.0022018448905806176,-66.58642496857385,-40.301470214752115,-0.0012076381341798851
all-british,96000,5.75,0.0021128068127148347,-66.66442867763436,-40.339397850264966,-0.001106150700690043
all-modern,44100,2.875,0.004693929959804603,-59.3072066669129,-36.90932728305374,-0.0021466260876381814
all-modern,48000,2.875,0.004394076063423714,-60.06904361696853,-37.52982125353037,-0.0017647324750105766
all-modern,96000,5.75,0.004419742986099016,-60.09504838645999,-37.530595424376216,-0.001585626903529584
american,44100,2.875,0.02119162661884217,-55.04236395044991,-29.253510206504746,-0.03303132936626851
american,48000,2.875,0.020634105784935533,-56.79459709735133,-30.998774955577943,-0.02198256909367529
american,96000,5.75,0.023482406591632532,-56.409915539419096,-30.614680842581258,-0.024170386547544477
british,44100,2.875,0.00313816125406155,-66.7644096933007,-41.25686444389526,-0.0023074397399705853
british,48000,2.875,0.0026469367389580917,-67.6325790089825,-42.12727472123846,-0.0020676118491175996
british,96000,5.75,0.00287037697487251,-67.60881109248888,-42.1014462580895,-0.0021473592182820137
bypass,44100,0,4.440892098500626e-16,-319.8897714008588,-310.87596062867766,1.928654933106574e-15
bypass,48000,0,6.661338147750939e-16,-319.4306688905631,-310.41853982804076,-9.643274665532871e-16
bypass,96000,0,4.440892098500626e-16,-319.5485528806203,-310.5350179728257,0.0
compressor,44100,0,3.3306690738754696e-16,-324.3061335412166,-310.74920687072665,1.928654933106574e-15
compressor,48000,0,3.3306690738754696e-16,-324.42564485764103,-310.87004679077194,-9.643274665532871e-16
compressor,96000,0,3.3306690738754696e-16,-323.7250192887299,-310.16924634596086,0.0
delay,44100,0,4.440892098500626e-16,-320.34063985740823,-310.6417338875322,1.928654933106574e-15
delay,48000,0,4.440892098500626e-16,-320.1592294896829,-310.37967878227283,1.928654933106574e-15
delay,96000,0,4.440892098500626e-16,-319.8844576867127,-310.0948842125171,-1.9286549331065743e-15
modern,44100,2.875,0.00432634104316932,-61.22616458266843,-38.275360515837434,-0.002484889463547587
modern,48000,2.875,0.004058663868661647,-61.96214030524707,-39.01264069964962,-0.002166182607741826
modern,96000,5.75,0.00405282909295189,-61.96465346647422,-39.01358211532396,-0.002178173646294423
pedal,44100,2.875,0.0035026145735843808,-60.50093214528744,-30.148312362070474,-0.00023753127897029692
pedal,48000,2.875,0.0032239436995822332,-61.21958469547362,-30.867209908628404,-0.00020554507163460982
pedal,96000,5.75,0.00317747821088433,-61.2004363516559,-30.843613261828054,-3.6387915913666514e-05
room,44100,0,5.551115123125783e-16,-319.87670363888026,-310.8777751783425,0.0
room,48000,0,4.51461784622964e-16,-320.01587918739654,-310.8334933009179,1.928654933106574e-15
room,96000,0,5.551115123125783e-16,-319.2629058781319,-310.13002785736455,-9.643274665532871e-16
