scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,48000,128,192000,0,0,-inf,-inf,-36.28258738,0,true
pedal,48000,128,192000,0.03448839765,0.002619671096,-51.63506463,-13.32948072,-38.30558391,383974,false
american,48000,128,192000,0.07184815779,0.004355428979,-47.21938127,-11.34881977,-35.87056151,383973,false
british,48000,128,192000,0.04206246324,0.004273483984,-47.38435839,-14.15476696,-33.22959143,383973,false
modern,48000,128,192000,0.07888762467,0.00600672386,-44.42724666,-10.64857839,-33.77866826,383974,false
compressor,48000,128,192000,0,0,-inf,-inf,-32.88000473,0,true
delay,48000,128,192000,0,0,-inf,-inf,-35.51766627,0,true
room,48000,128,192000,0,0,-inf,-inf,-36.165448,0,true
all-american,48000,128,192000,0.1022836473,0.008868229678,-41.04326135,-8.014789105,-33.02847225,383974,false
all-british,48000,128,192000,0.08423352242,0.007818295072,-42.13775886,-12.3070425,-29.83071635,383974,false
all-modern,48000,128,192000,0.1074690782,0.01077911496,-39.34833792,-8.942756451,-30.40558147,383974,false
automation,48000,128,192000,0.1305300742,0.009177427607,-40.74558065,-11.36978611,-29.37579454,303959,false
