scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,48000,128,192000,0,0,-inf,-inf,-36.28258738,0,true
pedal,48000,128,192000,0,0,-inf,-inf,-38.30558391,0,true
american,48000,128,192000,1.490116119e-08,2.596094565e-10,-191.7135898,-155.8430283,-35.87056151,30376,true
british,48000,128,192000,1.490116119e-08,2.106358214e-10,-193.5293554,-160.299764,-33.22959143,10177,true
modern,48000,128,192000,0,0,-inf,-inf,-33.77866826,0,true
compressor,48000,128,192000,0,0,-inf,-inf,-32.88000473,0,true
delay,48000,128,192000,0,0,-inf,-inf,-35.51766627,0,true
room,48000,128,192000,0,0,-inf,-inf,-36.165448,0,true
all-american,48000,128,192000,2.235174179e-08,6.095077192e-10,-184.3004158,-151.2719435,-33.02847225,93694,true
all-british,48000,128,192000,2.980232239e-08,7.010678602e-10,-183.0847988,-153.2540825,-29.83071635,59582,true
all-modern,48000,128,192000,0,0,-inf,-inf,-30.40558147,0,true
automation,48000,128,192000,2.980232239e-08,4.151170862e-10,-187.6365878,-158.2607933,-29.37579454,29862,true
