scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,44100,128,88200,0,0,-inf,-inf,-11.07658,0,true
pedal,44100,128,88200,0,0,-inf,-inf,-32.3778219,0,true
american,44100,128,88200,5.960464478e-08,5.523519985e-10,-185.1556814,-157.3652318,-27.79044956,42006,true
british,44100,128,88200,5.960464478e-08,4.269252576e-10,-187.392963,-159.926516,-27.46644704,34220,true
modern,44100,128,88200,0,0,-inf,-inf,-24.91600378,0,true
compressor,44100,128,88200,0,0,-inf,-inf,-15.34951151,0,true
delay,44100,128,88200,0,0,-inf,-inf,-11.40286638,0,true
room,44100,128,88200,0,0,-inf,-inf,-11.029893,0,true
all-american,44100,128,88200,8.195638657e-08,1.370205671e-09,-177.2642848,-150.1956312,-27.06865362,27188,true
all-british,44100,128,88200,8.195638657e-08,1.364876387e-09,-177.2981336,-149.4729232,-27.8252104,25085,true
all-modern,44100,128,88200,0,0,-inf,-inf,-24.14724993,0,true
automation,44100,128,88200,1.192092896e-07,2.126834821e-09,-173.4453248,-157.9895918,-15.45573297,6472,true
bypass,48000,128,96000,0,0,-inf,-inf,-11.07391317,0,true
pedal,48000,128,96000,0,0,-inf,-inf,-32.37746683,0,true
american,48000,128,96000,5.960464478e-08,5.36296005e-10,-185.4119088,-157.6243978,-27.78751099,45302,true
british,48000,128,96000,5.960464478e-08,4.708797145e-10,-186.5418004,-159.07766,-27.46414038,39177,true
modern,48000,128,96000,0,0,-inf,-inf,-24.9155875,0,true
compressor,48000,128,96000,0,0,-inf,-inf,-15.3475506,0,true
delay,48000,128,96000,0,0,-inf,-inf,-11.47343794,0,true
room,48000,128,96000,0,0,-inf,-inf,-11.19633053,0,true
all-american,48000,128,96000,8.195638657e-08,1.446665526e-09,-176.7926374,-149.436722,-27.35591532,30746,true
all-british,48000,128,96000,8.195638657e-08,1.285846154e-09,-177.8162198,-149.8606141,-27.95560566,26551,true
all-modern,48000,128,96000,0,0,-inf,-inf,-24.27251259,0,true
automation,48000,128,96000,1.192092896e-07,2.15741651e-09,-173.32132,-157.841239,-15.48008101,7221,true
bypass,96000,128,192000,0,0,-inf,-inf,-11.07554825,0,true
pedal,96000,128,192000,0,0,-inf,-inf,-32.38102623,0,true
american,96000,128,192000,5.960464478e-08,5.428038008e-10,-185.3071424,-157.5177374,-27.78940498,89670,true
british,96000,128,192000,5.960464478e-08,4.498411001e-10,-186.9388173,-159.4738518,-27.46496554,78474,true
modern,96000,128,192000,0,0,-inf,-inf,-24.91492633,0,true
compressor,96000,128,192000,0,0,-inf,-inf,-15.34791779,0,true
delay,96000,128,192000,0,0,-inf,-inf,-11.48502332,0,true
room,96000,128,192000,0,0,-inf,-inf,-11.15367968,0,true
all-american,96000,128,192000,8.195638657e-08,1.404355776e-09,-177.0504571,-149.5692264,-27.48123073,57004,true
all-british,96000,128,192000,8.195638657e-08,1.235723407e-09,-178.1615745,-150.169619,-27.99195554,49214,true
all-modern,96000,128,192000,0,0,-inf,-inf,-24.29862224,0,true
automation,96000,128,192000,1.192092896e-07,1.580206181e-09,-176.0257249,-160.5324697,-15.4932552,8990,true
