scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,48000,128,192000,0,0,-inf,-inf,-36.28258738,0,true
pedal,48000,128,192000,0,0,-inf,-inf,-38.30558391,0,true
american,48000,128,192000,1.256819814e-06,1.736244728e-07,-135.2077812,-99.33721969,-35.87056151,381406,true
british,48000,128,192000,2.99140811e-06,2.982388173e-07,-130.5087166,-97.2791252,-33.22959143,380431,true
modern,48000,128,192000,0,0,-inf,-inf,-33.77866826,0,true
compressor,48000,128,192000,0,0,-inf,-inf,-32.88000473,0,true
delay,48000,128,192000,0,0,-inf,-inf,-35.51766627,0,true
room,48000,128,192000,0,0,-inf,-inf,-36.165448,0,true
all-american,48000,128,192000,1.568347216e-06,1.790058922e-07,-134.9426535,-101.9141812,-33.02847225,382275,true
all-british,48000,128,192000,3.133085556e-06,3.107050393e-07,-130.1530341,-100.3223177,-29.83071635,381865,true
all-modern,48000,128,192000,0,0,-inf,-inf,-30.40558147,0,true
automation,48000,128,192000,3.573042341e-05,1.812433425e-06,-114.8347587,-85.4589642,-29.37579454,292981,false
