scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,44100,128,88200,0,0,-inf,-inf,-11.07658,0,true
pedal,44100,128,88200,0,0,-inf,-inf,-32.3778219,0,true
american,44100,128,88200,1.229345798e-07,6.143814272e-09,-164.2312384,-136.4407889,-27.79044956,76280,true
british,44100,128,88200,1.192092896e-07,1.854325555e-08,-154.6362803,-127.1698333,-27.46644704,116322,true
modern,44100,128,88200,0,0,-inf,-inf,-24.91600378,0,true
compressor,44100,128,88200,0,0,-inf,-inf,-15.34951151,0,true
delay,44100,128,88200,0,0,-inf,-inf,-11.40286638,0,true
room,44100,128,88200,0,0,-inf,-inf,-11.029893,0,true
all-american,44100,128,88200,1.005828381e-07,1.219427808e-08,-158.2768781,-131.2082245,-27.06865362,134077,true
all-british,44100,128,88200,4.954636097e-07,4.699363413e-08,-146.5592194,-118.734009,-27.8252104,164289,true
all-modern,44100,128,88200,0,0,-inf,-inf,-24.14724993,0,true
automation,44100,128,88200,1.400709152e-06,3.588659549e-08,-148.9013548,-133.4456218,-15.45573297,89655,true
bypass,48000,128,96000,0,0,-inf,-inf,-11.07391317,0,true
pedal,48000,128,96000,0,0,-inf,-inf,-32.37746683,0,true
american,48000,128,96000,1.043081284e-07,6.149738492e-09,-164.222867,-136.435356,-27.78751099,82616,true
british,48000,128,96000,3.095383078e-07,2.182169666e-08,-153.2222297,-125.7580893,-27.46414038,123273,true
modern,48000,128,96000,0,0,-inf,-inf,-24.9155875,0,true
compressor,48000,128,96000,0,0,-inf,-inf,-15.3475506,0,true
delay,48000,128,96000,0,0,-inf,-inf,-11.47343794,0,true
room,48000,128,96000,0,0,-inf,-inf,-11.19633053,0,true
all-american,48000,128,96000,1.043081284e-07,1.237915536e-08,-158.1461797,-130.7902644,-27.35591532,147009,true
all-british,48000,128,96000,4.763714969e-07,4.462685056e-08,-147.0080752,-119.0524696,-27.95560566,178272,true
all-modern,48000,128,96000,0,0,-inf,-inf,-24.27251259,0,true
automation,48000,128,96000,1.400709152e-06,3.555104495e-08,-148.9829526,-133.5028716,-15.48008101,97421,true
bypass,96000,128,192000,0,0,-inf,-inf,-11.07554825,0,true
pedal,96000,128,192000,0,0,-inf,-inf,-32.38102623,0,true
american,96000,128,192000,1.192092896e-07,6.083602349e-09,-164.3167836,-136.5273786,-27.78940498,163697,true
british,96000,128,192000,1.192092896e-07,1.789627049e-08,-154.9447493,-127.4797838,-27.46496554,246774,true
modern,96000,128,192000,0,0,-inf,-inf,-24.91492633,0,true
compressor,96000,128,192000,0,0,-inf,-inf,-15.34791779,0,true
delay,96000,128,192000,0,0,-inf,-inf,-11.48502332,0,true
room,96000,128,192000,0,0,-inf,-inf,-11.15367968,0,true
all-american,96000,128,192000,1.043081284e-07,1.230923191e-08,-158.1953809,-130.7141502,-27.48123073,292797,true
all-british,96000,128,192000,4.642643034e-07,4.506343027e-08,-146.923515,-118.9315595,-27.99195554,356136,true
all-modern,96000,128,192000,0,0,-inf,-inf,-24.29862224,0,true
automation,96000,128,192000,1.464039087e-06,3.577814443e-08,-148.9276437,-133.4343885,-15.4932552,192313,true
