scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,44100,128,88200,0,0,-inf,-inf,-11.07658,0,true
pedal,44100,128,88200,0,0,-inf,-inf,-32.3778219,0,true
american,44100,128,88200,0,0,-inf,-inf,-27.79044956,0,true
british,44100,128,88200,0,0,-inf,-inf,-27.46644704,0,true
modern,44100,128,88200,0,0,-inf,-inf,-24.91600378,0,true
compressor,44100,128,88200,0,0,-inf,-inf,-15.34951151,0,true
delay,44100,128,88200,0,0,-inf,-inf,-11.40286638,0,true
room,44100,128,88200,0,0,-inf,-inf,-11.029893,0,true
all-american,44100,128,88200,0,0,-inf,-inf,-27.06865362,0,true
all-british,44100,128,88200,0,0,-inf,-inf,-27.8252104,0,true
all-modern,44100,128,88200,0,0,-inf,-inf,-24.14724993,0,true
automation,44100,128,88200,0,0,-inf,-inf,-15.45573297,0,true
bypass,48000,128,96000,0,0,-inf,-inf,-11.07391317,0,true
pedal,48000,128,96000,0,0,-inf,-inf,-32.37746683,0,true
american,48000,128,96000,0,0,-inf,-inf,-27.78751099,0,true
british,48000,128,96000,0,0,-inf,-inf,-27.46414038,0,true
modern,48000,128,96000,0,0,-inf,-inf,-24.9155875,0,true
compressor,48000,128,96000,0,0,-inf,-inf,-15.3475506,0,true
delay,48000,128,96000,0,0,-inf,-inf,-11.47343794,0,true
room,48000,128,96000,0,0,-inf,-inf,-11.19633053,0,true
all-american,48000,128,96000,0,0,-inf,-inf,-27.35591532,0,true
all-british,48000,128,96000,0,0,-inf,-inf,-27.95560566,0,true
all-modern,48000,128,96000,0,0,-inf,-inf,-24.27251259,0,true
automation,48000,128,96000,0,0,-inf,-inf,-15.48008101,0,true
bypass,96000,128,192000,0,0,-inf,-inf,-11.07554825,0,true
pedal,96000,128,192000,0,0,-inf,-inf,-32.38102623,0,true
american,96000,128,192000,0,0,-inf,-inf,-27.78940498,0,true
british,96000,128,192000,0,0,-inf,-inf,-27.46496554,0,true
modern,96000,128,192000,0,0,-inf,-inf,-24.91492633,0,true
compressor,96000,128,192000,0,0,-inf,-inf,-15.34791779,0,true
delay,96000,128,192000,0,0,-inf,-inf,-11.48502332,0,true
room,96000,128,192000,0,0,-inf,-inf,-11.15367968,0,true
all-american,96000,128,192000,0,0,-inf,-inf,-27.48123073,0,true
all-british,96000,128,192000,0,0,-inf,-inf,-27.99195554,0,true
all-modern,96000,128,192000,0,0,-inf,-inf,-24.29862224,0,true
automation,96000,128,192000,0,0,-inf,-inf,-15.4932552,0,true
