cabinet,quality,model,crossfading,event,trials,median_us,p95_us,max_us,audio_allocations
1,0,0,0,mono-frame,64,2.1045,31,66.291,0
1,0,0,0,first-divergent-frame,64,8.3955,19.708,57.459,0
1,0,0,0,second-divergent-frame,64,3.792,8.125,135.875,0
1,0,0,0,128-frame-block-diverging-at-13,64,627.958,8197.834,61216.584,0
1,0,0,1,mono-frame,64,5.458,5.917,7.042,0
1,0,0,1,first-divergent-frame,64,18.958,20.542,21.417,0
1,0,0,1,second-divergent-frame,64,10.5,11.625,2520.708,0
1,0,0,1,128-frame-block-diverging-at-13,64,1802.0625,82026.666,207905.333,0
1,0,1,0,mono-frame,64,2.042,4.875,8.417,0
1,0,1,0,first-divergent-frame,64,8.1665,16.458,103.042,0
1,0,1,0,second-divergent-frame,64,3.7915,7.792,24.416,0
1,0,1,0,128-frame-block-diverging-at-13,64,447.4585,46932.875,185013.042,0
1,0,1,1,mono-frame,64,5.292,7.458,12.709,0
1,0,1,1,first-divergent-frame,64,19.1665,42.125,3361.5,0
1,0,1,1,second-divergent-frame,64,10.5,23.459,15654.875,0
1,0,1,1,128-frame-block-diverging-at-13,64,1606.1045,99142.666,134428.209,0
1,0,2,0,mono-frame,64,0.75,2.333,2.458,0
1,0,2,0,first-divergent-frame,64,4.709,9.959,20.291,0
1,0,2,0,second-divergent-frame,64,1.375,3.75,7.334,0
1,0,2,0,128-frame-block-diverging-at-13,64,212.8335,5893.417,45234.166,0
1,0,2,1,mono-frame,64,1.959,3.334,5.084,0
1,0,2,1,first-divergent-frame,64,10.7295,20.75,26.75,0
1,0,2,1,second-divergent-frame,64,3.8125,8.625,51141.166,0
1,0,2,1,128-frame-block-diverging-at-13,64,684.9375,43551.417,128712.959,0
1,1,0,0,mono-frame,64,3.8125,5.75,169.875,0
1,1,0,0,first-divergent-frame,64,11.813,16.042,77.834,0
1,1,0,0,second-divergent-frame,64,7.125,10.375,6953.084,0
1,1,0,0,128-frame-block-diverging-at-13,64,867.3335,27633.542,120791.375,0
1,1,0,1,mono-frame,64,5.334,12.083,65960.042,0
1,1,0,1,first-divergent-frame,64,19.1665,48.833,8268.625,0
1,1,0,1,second-divergent-frame,64,10.583,23.333,145.292,0
1,1,0,1,128-frame-block-diverging-at-13,64,1420.771,35518.25,79342.625,0
1,1,1,0,mono-frame,64,3.604,6.042,10.666,0
1,1,1,0,first-divergent-frame,64,10.958,16.417,32.917,0
1,1,1,0,second-divergent-frame,64,7,17.042,7975.541,0
1,1,1,0,128-frame-block-diverging-at-13,64,863.604,22766.542,39112.084,0
1,1,1,1,mono-frame,64,5.25,12.375,21.208,0
1,1,1,1,first-divergent-frame,64,18.375,37.166,344.083,0
1,1,1,1,second-divergent-frame,64,10.458,23.167,59.167,0
1,1,1,1,128-frame-block-diverging-at-13,64,1830.4375,44167.541,56822.541,0
1,1,2,0,mono-frame,64,1.3955,3.709,1895.291,0
1,1,2,0,first-divergent-frame,64,5.6045,12.292,46.042,0
1,1,2,0,second-divergent-frame,64,2.5,5.917,58.75,0
1,1,2,0,128-frame-block-diverging-at-13,64,413.333,4037.958,22879.917,0
1,1,2,1,mono-frame,64,1.958,3.167,21.875,0
1,1,2,1,first-divergent-frame,64,10.8335,51.375,1116.25,0
1,1,2,1,second-divergent-frame,64,3.792,9.542,44.792,0
1,1,2,1,128-frame-block-diverging-at-13,64,630.604,5085.625,55694.209,0
