cabinet,quality,model,crossfading,event,trials,median_us,p95_us,max_us,audio_allocations
1,0,0,0,mono-frame,64,2.333,5.125,5.375,0
1,0,0,0,first-divergent-frame,64,8.604,16.708,19.958,0
1,0,0,0,second-divergent-frame,64,3.875,9.5,96.291,0
1,0,0,0,128-frame-block-diverging-at-13,64,538.667,6218.291,8475.292,0
1,0,0,1,mono-frame,64,5.458,12,12.75,0
1,0,0,1,first-divergent-frame,64,18.813,41.917,1258.125,0
1,0,0,1,second-divergent-frame,64,10.5,23.083,230.084,0
1,0,0,1,128-frame-block-diverging-at-13,64,2248.6045,13741.291,49870.292,0
1,0,1,0,mono-frame,64,2.1665,5.208,8081.125,0
1,0,1,0,first-divergent-frame,64,8.104,19.75,98.583,0
1,0,1,0,second-divergent-frame,64,3.8545,10.417,530.959,0
1,0,1,0,128-frame-block-diverging-at-13,64,453.4375,3526.75,6657.875,0
1,0,1,1,mono-frame,64,5.25,39.333,1056.25,0
1,0,1,1,first-divergent-frame,64,18.7495,51.959,1224.042,0
1,0,1,1,second-divergent-frame,64,10.4375,25.208,421.25,0
1,0,1,1,128-frame-block-diverging-at-13,64,1553.875,8644.667,20200.417,0
1,0,2,0,mono-frame,64,0.75,1.958,2.75,0
1,0,2,0,first-divergent-frame,64,4.479,9.667,264.459,0
1,0,2,0,second-divergent-frame,64,1.375,3.75,3.917,0
1,0,2,0,128-frame-block-diverging-at-13,64,212.208,1628.375,3389.5,0
1,0,2,1,mono-frame,64,1.958,4.542,2084.792,0
1,0,2,1,first-divergent-frame,64,10.854,23.042,305.334,0
1,0,2,1,second-divergent-frame,64,3.791,9,22.375,0
1,0,2,1,128-frame-block-diverging-at-13,64,669.5,3250,8061.084,0
1,1,0,0,mono-frame,64,3.917,9.125,63.75,0
1,1,0,0,first-divergent-frame,64,11.4585,26.334,724.458,0
1,1,0,0,second-divergent-frame,64,7.25,16.709,48.5,0
1,1,0,0,128-frame-block-diverging-at-13,64,1628.125,12700.292,19093.917,0
1,1,0,1,mono-frame,64,5.334,8.375,12.542,0
1,1,0,1,first-divergent-frame,64,18.979,36.542,160.75,0
1,1,0,1,second-divergent-frame,64,10.5625,22.916,127.375,0
1,1,0,1,128-frame-block-diverging-at-13,64,1390.875,3006.333,4683.084,0
1,1,1,0,mono-frame,64,3.7295,8.875,197.708,0
1,1,1,0,first-divergent-frame,64,11.396,24.041,25.834,0
1,1,1,0,second-divergent-frame,64,7.0625,19.042,978.25,0
1,1,1,0,128-frame-block-diverging-at-13,64,905.604,2484.334,22873.708,0
1,1,1,1,mono-frame,64,5.208,11.667,18.75,0
1,1,1,1,first-divergent-frame,64,18.7705,38.375,49.375,0
1,1,1,1,second-divergent-frame,64,10.417,23.083,43.666,0
1,1,1,1,128-frame-block-diverging-at-13,64,1456.729,3453.458,4302.875,0
1,1,2,0,mono-frame,64,1.417,3.667,70.792,0
1,1,2,0,first-divergent-frame,64,5.542,15.208,453.458,0
1,1,2,0,second-divergent-frame,64,2.5,6.958,43.75,0
1,1,2,0,128-frame-block-diverging-at-13,64,414.5835,1313.667,1673.5,0
1,1,2,1,mono-frame,64,1.958,5.25,25.792,0
1,1,2,1,first-divergent-frame,64,10.937,68.125,346.75,0
1,1,2,1,second-divergent-frame,64,3.792,8.833,64.417,0
1,1,2,1,128-frame-block-diverging-at-13,64,656.188,3836.792,23104.541,0
