cabinet,quality,model,crossfading,event,trials,median_us,p95_us,max_us,audio_allocations
0,0,0,0,mono-frame,64,2.041,3.375,27.542,0
0,0,0,0,first-divergent-frame,64,3.834,6.5,8.542,0
0,0,0,0,second-divergent-frame,64,3.7085,7.792,271.917,0
0,0,0,0,128-frame-block-diverging-at-13,64,429.1245,4487.791,25922.083,0
0,0,0,1,mono-frame,64,5.375,11.667,13.458,0
0,0,0,1,first-divergent-frame,64,10.583,23.791,1560.083,0
0,0,0,1,second-divergent-frame,64,10.417,22.834,28.625,0
0,0,0,1,128-frame-block-diverging-at-13,64,1506.5625,21558.875,89172.542,0
0,0,1,0,mono-frame,64,2.0625,5.458,391.834,0
0,0,1,0,first-divergent-frame,64,3.875,9.167,19.334,0
0,0,1,0,second-divergent-frame,64,3.8125,8.917,30.958,0
0,0,1,0,128-frame-block-diverging-at-13,64,442.687,2130.959,27984.583,0
0,0,1,1,mono-frame,64,5.25,11.333,17.083,0
0,0,1,1,first-divergent-frame,64,10.6045,23.833,2609.834,0
0,0,1,1,second-divergent-frame,64,10.334,22.75,46.625,0
0,0,1,1,128-frame-block-diverging-at-13,64,1732.4375,32679.709,62198.083,0
0,0,2,0,mono-frame,64,0.459,1,19.208,0
0,0,2,0,first-divergent-frame,64,0.8955,1.208,39.875,0
0,0,2,0,second-divergent-frame,64,0.833,1,3.459,0
0,0,2,0,128-frame-block-diverging-at-13,64,92.083,349.458,27809.667,0
0,0,2,1,mono-frame,64,1.167,3,12.875,0
0,0,2,1,first-divergent-frame,64,2.333,6.125,33.167,0
0,0,2,1,second-divergent-frame,64,2.167,5.917,30.167,0
0,0,2,1,128-frame-block-diverging-at-13,64,262.458,2270.542,13429.375,0
0,1,0,0,mono-frame,64,3.792,8.917,82.167,0
0,1,0,0,first-divergent-frame,64,7.479,19.875,1063.833,0
0,1,0,0,second-divergent-frame,64,7.2705,15.417,22.167,0
0,1,0,0,128-frame-block-diverging-at-13,64,1011.271,24783.625,46446.958,0
0,1,0,1,mono-frame,64,5.3335,11.292,12.417,0
0,1,0,1,first-divergent-frame,64,10.667,23.209,57.333,0
0,1,0,1,second-divergent-frame,64,10.4375,22.666,1403.333,0
0,1,0,1,128-frame-block-diverging-at-13,64,1596,11494.542,31324.083,0
0,1,1,0,mono-frame,64,3.625,8.875,11.333,0
0,1,1,0,first-divergent-frame,64,7.2705,16.292,18.875,0
0,1,1,0,second-divergent-frame,64,7.1875,24.959,59.417,0
0,1,1,0,128-frame-block-diverging-at-13,64,1418.7915,24841.542,63472.291,0
0,1,1,1,mono-frame,64,5.25,11.375,167.917,0
0,1,1,1,first-divergent-frame,64,10.625,23.084,52052.833,0
0,1,1,1,second-divergent-frame,64,10.417,22.5,159.875,0
0,1,1,1,128-frame-block-diverging-at-13,64,1913.25,32903.208,82127.667,0
0,1,2,0,mono-frame,64,0.833,2.666,14.291,0
0,1,2,0,first-divergent-frame,64,1.625,4.542,9.333,0
0,1,2,0,second-divergent-frame,64,1.5,4.042,5.209,0
0,1,2,0,128-frame-block-diverging-at-13,64,195.021,3246.208,53083.916,0
0,1,2,1,mono-frame,64,1.167,1.292,3430.5,0
0,1,2,1,first-divergent-frame,64,2.3335,2.667,19.208,0
0,1,2,1,second-divergent-frame,64,2.208,2.292,101.25,0
0,1,2,1,128-frame-block-diverging-at-13,64,260.7915,3004.667,20197.917,0
