cabinet,quality,model,crossfading,event,trials,median_us,p95_us,max_us,audio_allocations
0,0,0,0,mono-frame,64,2.1665,3.083,4.75,0
0,0,0,0,first-divergent-frame,64,3.979,8.291,929.625,0
0,0,0,0,second-divergent-frame,64,3.729,7.708,35.042,0
0,0,0,0,128-frame-block-diverging-at-13,64,438.0835,1199.209,2002.417,0
0,0,0,1,mono-frame,64,5.417,7.208,66.542,0
0,0,0,1,first-divergent-frame,64,10.625,11.792,52.166,0
0,0,0,1,second-divergent-frame,64,10.417,12.709,1186.125,0
0,0,0,1,128-frame-block-diverging-at-13,64,1317.375,2805.459,3447.166,0
0,0,1,0,mono-frame,64,2,4.542,15.833,0
0,0,1,0,first-divergent-frame,64,3.812,12.25,906.292,0
0,0,1,0,second-divergent-frame,64,3.625,7.792,10.209,0
0,0,1,0,128-frame-block-diverging-at-13,64,463.229,1574.625,1764.917,0
0,0,1,1,mono-frame,64,5.25,11.083,291.875,0
0,0,1,1,first-divergent-frame,64,10.6045,22.875,35.916,0
0,0,1,1,second-divergent-frame,64,10.3125,21.25,37,0
0,0,1,1,128-frame-block-diverging-at-13,64,1872.3335,4986.959,17781.459,0
0,0,2,0,mono-frame,64,0.5,1.583,2.083,0
0,0,2,0,first-divergent-frame,64,0.875,2.542,2.875,0
0,0,2,0,second-divergent-frame,64,0.833,2.084,2.5,0
0,0,2,0,128-frame-block-diverging-at-13,64,92,302.125,627.333,0
0,0,2,1,mono-frame,64,1.167,3,3.708,0
0,0,2,1,first-divergent-frame,64,2.334,6.25,7.125,0
0,0,2,1,second-divergent-frame,64,2.208,5.75,5.875,0
0,0,2,1,128-frame-block-diverging-at-13,64,260.875,1041.75,2370.833,0
0,1,0,0,mono-frame,64,3.791,6.875,25.791,0
0,1,0,0,first-divergent-frame,64,7.292,12.708,23.583,0
0,1,0,0,second-divergent-frame,64,7.1665,15.208,49.916,0
0,1,0,0,128-frame-block-diverging-at-13,64,844.562,2168.583,6527.291,0
0,1,0,1,mono-frame,64,5.333,11.542,68.542,0
0,1,0,1,first-divergent-frame,64,10.7295,23.458,1384.375,0
0,1,0,1,second-divergent-frame,64,10.4375,15.208,22.917,0
0,1,0,1,128-frame-block-diverging-at-13,64,1291.417,2917.417,2978.958,0
0,1,1,0,mono-frame,64,3.6245,8.459,430.291,0
0,1,1,0,first-divergent-frame,64,7.1665,17,26.25,0
0,1,1,0,second-divergent-frame,64,6.917,11.75,21.792,0
0,1,1,0,128-frame-block-diverging-at-13,64,905.3125,2247.375,7737.041,0
0,1,1,1,mono-frame,64,5.209,6.125,15.542,0
0,1,1,1,first-divergent-frame,64,10.542,17.542,79.75,0
0,1,1,1,second-divergent-frame,64,10.292,22.542,62.292,0
0,1,1,1,128-frame-block-diverging-at-13,64,1639.021,3841.583,8110.042,0
0,1,2,0,mono-frame,64,0.833,2.542,2.875,0
0,1,2,0,first-divergent-frame,64,1.625,4.416,5,0
0,1,2,0,second-divergent-frame,64,1.5,3.875,4.084,0
0,1,2,0,128-frame-block-diverging-at-13,64,175.354,1482.542,3188.833,0
0,1,2,1,mono-frame,64,1.167,2.959,3.084,0
0,1,2,1,first-divergent-frame,64,2.375,6.084,6.75,0
0,1,2,1,second-divergent-frame,64,2.208,5.667,5.875,0
0,1,2,1,128-frame-block-diverging-at-13,64,260.4995,803.75,1503.917,0
