scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,24.74739583,23.8828125,0.1187875,0.8122619674,24.14583333,0.1159,guitar,high
pedal,48000,128,96000,3,485.3276875,485.09375,2.3295729,-917.7012967,478.59375,2.29725,guitar,high
american,48000,128,96000,3,5844.642365,5803.250437,28.05428335,-2.71208705,5735.697917,27.53135,guitar,high
british,48000,128,96000,3,5664.496521,5642.994354,27.1895833,-3.831362636,5548.21875,26.63145,guitar,high
modern,48000,128,96000,3,1057.760417,1053.405385,5.07725,-2.874120134,1039.854167,4.9913,guitar,high
compressor,48000,128,96000,3,23.75564583,23.65625,0.1140271,1.163138035,23.75,0.114,guitar,high
delay,48000,128,96000,3,24.22048958,23.53125,0.11625835,0.2027148627,23.98958333,0.11515,guitar,high
room,48000,128,96000,3,24.42273958,23.5703125,0.11722915,-0.7043228292,23.86458333,0.11455,guitar,high
all-american,48000,128,96000,3,6651.02301,6643.946615,31.92491045,-3.007229095,6515.458333,31.2742,guitar,high
all-british,48000,128,96000,3,6394.121969,6334.802958,30.69178545,-4.666590839,6258.1875,30.0393,guitar,high
all-modern,48000,128,96000,3,1563.596354,1470.698354,7.5052625,-8.645656993,1450.770833,6.9637,guitar,high
automation,48000,128,96000,3,5878.520396,4844.516927,28.2168979,-314.4129068,4763.59375,22.86525,guitar,high
