scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,29.6961875,28.25608333,0.1425417,0.8122619674,26.13541667,0.12545,guitar,high
pedal,48000,128,96000,3,601.6540729,540.2287292,2.88793955,-917.7012967,505.2291667,2.4251,guitar,high
american,48000,128,96000,3,7490.193573,7268.884115,35.95292915,-2.71208705,6101.604167,29.2877,guitar,high
british,48000,128,96000,3,7198.668844,7139.298177,34.55361045,-3.831362636,5986.083333,28.7332,guitar,high
modern,48000,128,96000,3,1444.453563,1269.186625,6.9333771,-2.874120134,1112.458333,5.3398,guitar,high
compressor,48000,128,96000,3,50.28342708,44.265625,0.24136045,1.163138035,38.69791667,0.18575,guitar,high
delay,48000,128,96000,3,31.48523958,26.80121875,0.15112915,0.2027148627,28.11458333,0.13495,guitar,high
room,48000,128,96000,3,23.72092708,23.69791667,0.11386045,-0.7043228292,23.71875,0.11385,guitar,high
all-american,48000,128,96000,3,8668.163188,8286.595479,41.6071833,-3.007229095,6931.635417,33.27185,guitar,high
all-british,48000,128,96000,3,8839.063802,8571.311198,42.42750625,-4.666590839,7156.03125,34.34895,guitar,high
all-modern,48000,128,96000,3,3152.167969,2345.476562,15.13040625,-8.645656993,1694.229167,8.1323,guitar,high
automation,48000,128,96000,3,7208.944448,7128.565542,34.60293335,-314.4129068,5239.604167,25.1501,guitar,high
