scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.04991667,22.9774375,0.1106396,0.9310751245,23.01041667,0.11045,guitar-mono,high
pedal,48000,128,96000,3,467.319875,466.6033021,2.2431354,-917.8626202,465.6354167,2.23505,guitar-mono,high
american,48000,128,96000,3,5592.11676,5580.822479,26.84216045,-2.718066422,5572.302083,26.74705,guitar-mono,high
british,48000,128,96000,3,5405.606771,5399.529073,25.9469125,-3.791846578,5382.708333,25.837,guitar-mono,high
modern,48000,128,96000,3,1001.499135,999.9236042,4.80719585,-2.868082033,997.3125,4.7871,guitar-mono,high
compressor,48000,128,96000,3,23.39495833,23.37542708,0.1122958,1.338700048,23.38541667,0.11225,guitar-mono,high
delay,48000,128,96000,3,23.04861458,23.02083333,0.11063335,0.3256386294,23.01041667,0.11045,guitar-mono,high
room,48000,128,96000,3,23.05078125,22.91536458,0.11064375,-0.3580064295,23.01041667,0.11045,guitar-mono,high
all-american,48000,128,96000,3,6300.71051,6292.800781,30.24341045,-2.814319943,6268.979167,30.0911,guitar-mono,high
all-british,48000,128,96000,3,6125.687927,6085.05599,29.40330205,-4.412266446,6085.208333,29.209,guitar-mono,high
all-modern,48000,128,96000,3,1373.843312,1370.292094,6.5944479,-8.162814311,1368.520833,6.5689,guitar-mono,high
automation,48000,128,96000,3,4397.105469,4396.021271,21.10610625,-315.3471389,4378.375,21.0162,guitar-mono,high
