scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,24.02127083,23.83810417,0.1153021,0.9310751245,23.97916667,0.1151,guitar-mono,high
pedal,48000,128,96000,3,263.8220417,251.6202187,1.2663458,-917.8626202,257.2604167,1.23485,guitar-mono,high
american,48000,128,96000,3,2865.190969,2860.567281,13.75291665,-2.718066422,2822.90625,13.54995,guitar-mono,high
british,48000,128,96000,3,2769.457031,2742.025604,13.29339375,-3.791846578,2727.96875,13.09425,guitar-mono,high
modern,48000,128,96000,3,530.8181458,527.609375,2.5479271,-2.868082033,521.4583333,2.503,guitar-mono,high
compressor,48000,128,96000,3,23.59635417,23.4223125,0.1132625,1.338700048,23.59375,0.11325,guitar-mono,high
delay,48000,128,96000,3,23.08072917,23.06553125,0.1107875,0.3256386294,23.0625,0.1107,guitar-mono,high
room,48000,128,96000,3,23.65798958,23.24869792,0.11355835,-0.3580064295,23.53125,0.11295,guitar-mono,high
all-american,48000,128,96000,3,3193.905813,3175.302948,15.3307479,-2.814319943,3164.822917,15.19115,guitar-mono,high
all-british,48000,128,96000,3,3070.28125,3065.647573,14.73735,-4.412266446,3049.739583,14.63875,guitar-mono,high
all-modern,48000,128,96000,3,709.1254375,707.0646667,3.4038021,-8.162814311,704.6041667,3.3821,guitar-mono,high
automation,48000,128,96000,3,2226.961375,2222.710062,10.6894146,-315.3471389,2216.572917,10.63955,guitar-mono,high
