scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass,input,oversampling
bypass,44100,128,30870,0,0,-inf,-inf,-10.90968265,0,true,mono,high
pedal,44100,128,30870,0,0,-inf,-inf,-32.39266698,0,true,mono,high
american,44100,128,30870,0,0,-inf,-inf,-29.09773166,0,true,mono,high
british,44100,128,30870,0,0,-inf,-inf,-28.76049893,0,true,mono,high
modern,44100,128,30870,0,0,-inf,-inf,-25.61141836,0,true,mono,high
compressor,44100,128,30870,0,0,-inf,-inf,-13.95761011,0,true,mono,high
delay,44100,128,30870,0,0,-inf,-inf,-10.55580996,0,true,mono,high
room,44100,128,30870,0,0,-inf,-inf,-9.891976142,0,true,mono,high
all-american,44100,128,30870,0,0,-inf,-inf,-28.07578611,0,true,mono,high
all-british,44100,128,30870,0,0,-inf,-inf,-27.65227815,0,true,mono,high
all-modern,44100,128,30870,0,0,-inf,-inf,-24.17356986,0,true,mono,high
automation,44100,128,30870,0,0,-inf,-inf,-19.22412373,0,true,mono,high
bypass,48000,128,33600,0,0,-inf,-inf,-10.90573926,0,true,mono,high
pedal,48000,128,33600,0,0,-inf,-inf,-32.38885844,0,true,mono,high
american,48000,128,33600,0,0,-inf,-inf,-29.08572242,0,true,mono,high
british,48000,128,33600,0,0,-inf,-inf,-28.74880718,0,true,mono,high
modern,48000,128,33600,0,0,-inf,-inf,-25.61128966,0,true,mono,high
compressor,48000,128,33600,0,0,-inf,-inf,-13.95672031,0,true,mono,high
delay,48000,128,33600,0,0,-inf,-inf,-10.5519741,0,true,mono,high
room,48000,128,33600,0,0,-inf,-inf,-9.941402892,0,true,mono,high
all-american,48000,128,33600,0,0,-inf,-inf,-28.11508083,0,true,mono,high
all-british,48000,128,33600,0,0,-inf,-inf,-27.67827,0,true,mono,high
all-modern,48000,128,33600,0,0,-inf,-inf,-24.18812989,0,true,mono,high
automation,48000,128,33600,0,0,-inf,-inf,-19.35682553,0,true,mono,high
bypass,96000,128,67200,0,0,-inf,-inf,-10.90659305,0,true,mono,high
pedal,96000,128,67200,0,0,-inf,-inf,-32.39243849,0,true,mono,high
american,96000,128,67200,0,0,-inf,-inf,-29.08325663,0,true,mono,high
british,96000,128,67200,0,0,-inf,-inf,-28.75152029,0,true,mono,high
modern,96000,128,67200,0,0,-inf,-inf,-25.60618131,0,true,mono,high
compressor,96000,128,67200,0,0,-inf,-inf,-13.95680586,0,true,mono,high
delay,96000,128,67200,0,0,-inf,-inf,-10.55235324,0,true,mono,high
room,96000,128,67200,0,0,-inf,-inf,-9.889636291,0,true,mono,high
all-american,96000,128,67200,0,0,-inf,-inf,-28.06902009,0,true,mono,high
all-british,96000,128,67200,0,0,-inf,-inf,-27.66349927,0,true,mono,high
all-modern,96000,128,67200,0,0,-inf,-inf,-24.16649908,0,true,mono,high
automation,96000,128,67200,0,0,-inf,-inf,-19.27654807,0,true,mono,high
