scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass,input,oversampling
bypass,44100,128,30870,0,0,-inf,-inf,-11.09056163,0,true,stereo,high
pedal,44100,128,30870,0,0,-inf,-inf,-32.33218985,0,true,stereo,high
american,44100,128,30870,0,0,-inf,-inf,-27.69328912,0,true,stereo,high
british,44100,128,30870,0,0,-inf,-inf,-27.27073397,0,true,stereo,high
modern,44100,128,30870,0,0,-inf,-inf,-24.74097895,0,true,stereo,high
compressor,44100,128,30870,0,0,-inf,-inf,-14.89748686,0,true,stereo,high
delay,44100,128,30870,0,0,-inf,-inf,-10.94995498,0,true,stereo,high
room,44100,128,30870,0,0,-inf,-inf,-10.98909913,0,true,stereo,high
all-american,44100,128,30870,0,0,-inf,-inf,-27.17271408,0,true,stereo,high
all-british,44100,128,30870,0,0,-inf,-inf,-27.20284397,0,true,stereo,high
all-modern,44100,128,30870,0,0,-inf,-inf,-23.67851879,0,true,stereo,high
automation,44100,128,30870,0,0,-inf,-inf,-19.1422786,0,true,stereo,high
bypass,48000,128,33600,0,0,-inf,-inf,-11.0882525,0,true,stereo,high
pedal,48000,128,33600,0,0,-inf,-inf,-32.33084011,0,true,stereo,high
american,48000,128,33600,0,0,-inf,-inf,-27.69524241,0,true,stereo,high
british,48000,128,33600,0,0,-inf,-inf,-27.26601248,0,true,stereo,high
modern,48000,128,33600,0,0,-inf,-inf,-24.7435679,0,true,stereo,high
compressor,48000,128,33600,0,0,-inf,-inf,-14.89520599,0,true,stereo,high
delay,48000,128,33600,0,0,-inf,-inf,-10.9549394,0,true,stereo,high
room,48000,128,33600,0,0,-inf,-inf,-11.1246634,0,true,stereo,high
all-american,48000,128,33600,0,0,-inf,-inf,-27.36011919,0,true,stereo,high
all-british,48000,128,33600,0,0,-inf,-inf,-27.2813769,0,true,stereo,high
all-modern,48000,128,33600,0,0,-inf,-inf,-23.75669068,0,true,stereo,high
automation,48000,128,33600,0,0,-inf,-inf,-19.30450569,0,true,stereo,high
bypass,96000,128,67200,0,0,-inf,-inf,-11.0881506,0,true,stereo,high
pedal,96000,128,67200,0,0,-inf,-inf,-32.33168177,0,true,stereo,high
american,96000,128,67200,0,0,-inf,-inf,-27.68699591,0,true,stereo,high
british,96000,128,67200,0,0,-inf,-inf,-27.26705689,0,true,stereo,high
modern,96000,128,67200,0,0,-inf,-inf,-24.73886241,0,true,stereo,high
compressor,96000,128,67200,0,0,-inf,-inf,-14.89488663,0,true,stereo,high
delay,96000,128,67200,0,0,-inf,-inf,-10.95477028,0,true,stereo,high
room,96000,128,67200,0,0,-inf,-inf,-11.09246632,0,true,stereo,high
all-american,96000,128,67200,0,0,-inf,-inf,-27.44142806,0,true,stereo,high
all-british,96000,128,67200,0,0,-inf,-inf,-27.30309803,0,true,stereo,high
all-modern,96000,128,67200,0,0,-inf,-inf,-23.77356993,0,true,stereo,high
automation,96000,128,67200,0,0,-inf,-inf,-19.34059236,0,true,stereo,high
