scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass,input,oversampling
bypass,44100,128,30870,0,0,-inf,-inf,-11.01367051,0,true,switching,high
pedal,44100,128,30870,0,0,-inf,-inf,-32.36661372,0,true,switching,high
american,44100,128,30870,0,0,-inf,-inf,-28.30469837,0,true,switching,high
british,44100,128,30870,0,0,-inf,-inf,-27.92420873,0,true,switching,high
modern,44100,128,30870,0,0,-inf,-inf,-25.15680016,0,true,switching,high
compressor,44100,128,30870,0,0,-inf,-inf,-14.34020984,0,true,switching,high
delay,44100,128,30870,0,0,-inf,-inf,-10.6583943,0,true,switching,high
room,44100,128,30870,0,0,-inf,-inf,-10.6023268,0,true,switching,high
all-american,44100,128,30870,0,0,-inf,-inf,-27.61741763,0,true,switching,high
all-british,44100,128,30870,0,0,-inf,-inf,-27.34217574,0,true,switching,high
all-modern,44100,128,30870,0,0,-inf,-inf,-23.86535095,0,true,switching,high
automation,44100,128,30870,0,0,-inf,-inf,-19.11496476,0,true,switching,high
bypass,48000,128,33600,0,0,-inf,-inf,-11.01249689,0,true,switching,high
pedal,48000,128,33600,0,0,-inf,-inf,-32.36435035,0,true,switching,high
american,48000,128,33600,0,0,-inf,-inf,-28.29375703,0,true,switching,high
british,48000,128,33600,0,0,-inf,-inf,-27.91326761,0,true,switching,high
modern,48000,128,33600,0,0,-inf,-inf,-25.15667722,0,true,switching,high
compressor,48000,128,33600,0,0,-inf,-inf,-14.34008417,0,true,switching,high
delay,48000,128,33600,0,0,-inf,-inf,-10.65725148,0,true,switching,high
room,48000,128,33600,0,0,-inf,-inf,-10.68086932,0,true,switching,high
all-american,48000,128,33600,0,0,-inf,-inf,-27.71836956,0,true,switching,high
all-british,48000,128,33600,0,0,-inf,-inf,-27.39057133,0,true,switching,high
all-modern,48000,128,33600,0,0,-inf,-inf,-23.90777042,0,true,switching,high
automation,48000,128,33600,0,0,-inf,-inf,-19.25594826,0,true,switching,high
bypass,96000,128,67200,0,0,-inf,-inf,-11.00967451,0,true,switching,high
pedal,96000,128,67200,0,0,-inf,-inf,-32.36572483,0,true,switching,high
american,96000,128,67200,0,0,-inf,-inf,-28.29548168,0,true,switching,high
british,96000,128,67200,0,0,-inf,-inf,-27.91373327,0,true,switching,high
modern,96000,128,67200,0,0,-inf,-inf,-25.15149679,0,true,switching,high
compressor,96000,128,67200,0,0,-inf,-inf,-14.3387889,0,true,switching,high
delay,96000,128,67200,0,0,-inf,-inf,-10.65378705,0,true,switching,high
room,96000,128,67200,0,0,-inf,-inf,-10.62714712,0,true,switching,high
all-american,96000,128,67200,0,0,-inf,-inf,-27.70356019,0,true,switching,high
all-british,96000,128,67200,0,0,-inf,-inf,-27.38091993,0,true,switching,high
all-modern,96000,128,67200,0,0,-inf,-inf,-23.89234374,0,true,switching,high
automation,96000,128,67200,0,0,-inf,-inf,-19.18987451,0,true,switching,high
