scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass,input,oversampling
bypass,44100,128,30870,0,0,-inf,-inf,-10.90968265,0,true,mono,standard
pedal,44100,128,30870,0,0,-inf,-inf,-32.39296113,0,true,mono,standard
american,44100,128,30870,0,0,-inf,-inf,-29.19072585,0,true,mono,standard
british,44100,128,30870,0,0,-inf,-inf,-28.76278398,0,true,mono,standard
modern,44100,128,30870,0,0,-inf,-inf,-25.6143184,0,true,mono,standard
compressor,44100,128,30870,0,0,-inf,-inf,-13.95761011,0,true,mono,standard
delay,44100,128,30870,0,0,-inf,-inf,-10.55580996,0,true,mono,standard
room,44100,128,30870,0,0,-inf,-inf,-9.891976142,0,true,mono,standard
all-american,44100,128,30870,0,0,-inf,-inf,-28.08501477,0,true,mono,standard
all-british,44100,128,30870,0,0,-inf,-inf,-27.65350857,0,true,mono,standard
all-modern,44100,128,30870,0,0,-inf,-inf,-24.1751575,0,true,mono,standard
automation,44100,128,30870,0,0,-inf,-inf,-19.23604633,0,true,mono,standard
bypass,48000,128,33600,0,0,-inf,-inf,-10.90573926,0,true,mono,standard
pedal,48000,128,33600,0,0,-inf,-inf,-32.38917881,0,true,mono,standard
american,48000,128,33600,0,0,-inf,-inf,-29.14227637,0,true,mono,standard
british,48000,128,33600,0,0,-inf,-inf,-28.75094531,0,true,mono,standard
modern,48000,128,33600,0,0,-inf,-inf,-25.61354792,0,true,mono,standard
compressor,48000,128,33600,0,0,-inf,-inf,-13.95672031,0,true,mono,standard
delay,48000,128,33600,0,0,-inf,-inf,-10.5519741,0,true,mono,standard
room,48000,128,33600,0,0,-inf,-inf,-9.941402892,0,true,mono,standard
all-american,48000,128,33600,0,0,-inf,-inf,-28.1238908,0,true,mono,standard
all-british,48000,128,33600,0,0,-inf,-inf,-27.6793557,0,true,mono,standard
all-modern,48000,128,33600,0,0,-inf,-inf,-24.18940553,0,true,mono,standard
automation,48000,128,33600,0,0,-inf,-inf,-19.36545338,0,true,mono,standard
bypass,96000,128,67200,0,0,-inf,-inf,-10.90659305,0,true,mono,standard
pedal,96000,128,67200,0,0,-inf,-inf,-32.39231029,0,true,mono,standard
american,96000,128,67200,0,0,-inf,-inf,-29.1433396,0,true,mono,standard
british,96000,128,67200,0,0,-inf,-inf,-28.75384899,0,true,mono,standard
modern,96000,128,67200,0,0,-inf,-inf,-25.60839824,0,true,mono,standard
compressor,96000,128,67200,0,0,-inf,-inf,-13.95680586,0,true,mono,standard
delay,96000,128,67200,0,0,-inf,-inf,-10.55235324,0,true,mono,standard
room,96000,128,67200,0,0,-inf,-inf,-9.889636291,0,true,mono,standard
all-american,96000,128,67200,0,0,-inf,-inf,-28.07779022,0,true,mono,standard
all-british,96000,128,67200,0,0,-inf,-inf,-27.66448468,0,true,mono,standard
all-modern,96000,128,67200,0,0,-inf,-inf,-24.16756788,0,true,mono,standard
automation,96000,128,67200,0,0,-inf,-inf,-19.2529375,0,true,mono,standard
