scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass,input,oversampling
bypass,44100,128,30870,0,0,-inf,-inf,-11.09056163,0,true,stereo,standard
pedal,44100,128,30870,0,0,-inf,-inf,-32.33260188,0,true,stereo,standard
american,44100,128,30870,0,0,-inf,-inf,-27.8367261,0,true,stereo,standard
british,44100,128,30870,0,0,-inf,-inf,-27.27317277,0,true,stereo,standard
modern,44100,128,30870,0,0,-inf,-inf,-24.74375879,0,true,stereo,standard
compressor,44100,128,30870,0,0,-inf,-inf,-14.89748686,0,true,stereo,standard
delay,44100,128,30870,0,0,-inf,-inf,-10.94995498,0,true,stereo,standard
room,44100,128,30870,0,0,-inf,-inf,-10.98909913,0,true,stereo,standard
all-american,44100,128,30870,0,0,-inf,-inf,-27.18145187,0,true,stereo,standard
all-british,44100,128,30870,0,0,-inf,-inf,-27.20458934,0,true,stereo,standard
all-modern,44100,128,30870,0,0,-inf,-inf,-23.68049347,0,true,stereo,standard
automation,44100,128,30870,0,0,-inf,-inf,-19.16470699,0,true,stereo,standard
bypass,48000,128,33600,0,0,-inf,-inf,-11.0882525,0,true,stereo,standard
pedal,48000,128,33600,0,0,-inf,-inf,-32.3312216,0,true,stereo,standard
american,48000,128,33600,0,0,-inf,-inf,-27.76314448,0,true,stereo,standard
british,48000,128,33600,0,0,-inf,-inf,-27.2681569,0,true,stereo,standard
modern,48000,128,33600,0,0,-inf,-inf,-24.74577706,0,true,stereo,standard
compressor,48000,128,33600,0,0,-inf,-inf,-14.89520599,0,true,stereo,standard
delay,48000,128,33600,0,0,-inf,-inf,-10.9549394,0,true,stereo,standard
room,48000,128,33600,0,0,-inf,-inf,-11.1246634,0,true,stereo,standard
all-american,48000,128,33600,0,0,-inf,-inf,-27.3683388,0,true,stereo,standard
all-british,48000,128,33600,0,0,-inf,-inf,-27.28280449,0,true,stereo,standard
all-modern,48000,128,33600,0,0,-inf,-inf,-23.75829271,0,true,stereo,standard
automation,48000,128,33600,0,0,-inf,-inf,-19.32668633,0,true,stereo,standard
bypass,96000,128,67200,0,0,-inf,-inf,-11.0881506,0,true,stereo,standard
pedal,96000,128,67200,0,0,-inf,-inf,-32.33154592,0,true,stereo,standard
american,96000,128,67200,0,0,-inf,-inf,-27.76516862,0,true,stereo,standard
british,96000,128,67200,0,0,-inf,-inf,-27.26914598,0,true,stereo,standard
modern,96000,128,67200,0,0,-inf,-inf,-24.7410239,0,true,stereo,standard
compressor,96000,128,67200,0,0,-inf,-inf,-14.89488663,0,true,stereo,standard
delay,96000,128,67200,0,0,-inf,-inf,-10.95477028,0,true,stereo,standard
room,96000,128,67200,0,0,-inf,-inf,-11.09246632,0,true,stereo,standard
all-american,96000,128,67200,0,0,-inf,-inf,-27.44905051,0,true,stereo,standard
all-british,96000,128,67200,0,0,-inf,-inf,-27.30413895,0,true,stereo,standard
all-modern,96000,128,67200,0,0,-inf,-inf,-23.77490002,0,true,stereo,standard
automation,96000,128,67200,0,0,-inf,-inf,-19.31770783,0,true,stereo,standard
