scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass,input,oversampling
bypass,44100,128,30870,0,0,-inf,-inf,-11.01367051,0,true,switching,standard
pedal,44100,128,30870,0,0,-inf,-inf,-32.36687962,0,true,switching,standard
american,44100,128,30870,0,0,-inf,-inf,-28.39315722,0,true,switching,standard
british,44100,128,30870,0,0,-inf,-inf,-27.92657054,0,true,switching,standard
modern,44100,128,30870,0,0,-inf,-inf,-25.15964546,0,true,switching,standard
compressor,44100,128,30870,0,0,-inf,-inf,-14.34020984,0,true,switching,standard
delay,44100,128,30870,0,0,-inf,-inf,-10.6583943,0,true,switching,standard
room,44100,128,30870,0,0,-inf,-inf,-10.6023268,0,true,switching,standard
all-american,44100,128,30870,0,0,-inf,-inf,-27.6263293,0,true,switching,standard
all-british,44100,128,30870,0,0,-inf,-inf,-27.34365262,0,true,switching,standard
all-modern,44100,128,30870,0,0,-inf,-inf,-23.86708352,0,true,switching,standard
automation,44100,128,30870,0,0,-inf,-inf,-19.12539198,0,true,switching,standard
bypass,48000,128,33600,0,0,-inf,-inf,-11.01249689,0,true,switching,standard
pedal,48000,128,33600,0,0,-inf,-inf,-32.36463012,0,true,switching,standard
american,48000,128,33600,0,0,-inf,-inf,-28.34783992,0,true,switching,standard
british,48000,128,33600,0,0,-inf,-inf,-27.91537702,0,true,switching,standard
modern,48000,128,33600,0,0,-inf,-inf,-25.15886385,0,true,switching,standard
compressor,48000,128,33600,0,0,-inf,-inf,-14.34008417,0,true,switching,standard
delay,48000,128,33600,0,0,-inf,-inf,-10.65725148,0,true,switching,standard
room,48000,128,33600,0,0,-inf,-inf,-10.68086932,0,true,switching,standard
all-american,48000,128,33600,0,0,-inf,-inf,-27.72684403,0,true,switching,standard
all-british,48000,128,33600,0,0,-inf,-inf,-27.39178386,0,true,switching,standard
all-modern,48000,128,33600,0,0,-inf,-inf,-23.90916609,0,true,switching,standard
automation,48000,128,33600,0,0,-inf,-inf,-19.26408527,0,true,switching,standard
bypass,96000,128,67200,0,0,-inf,-inf,-11.00967451,0,true,switching,standard
pedal,96000,128,67200,0,0,-inf,-inf,-32.36559877,0,true,switching,standard
american,96000,128,67200,0,0,-inf,-inf,-28.35060842,0,true,switching,standard
british,96000,128,67200,0,0,-inf,-inf,-27.91591745,0,true,switching,standard
modern,96000,128,67200,0,0,-inf,-inf,-25.15369328,0,true,switching,standard
compressor,96000,128,67200,0,0,-inf,-inf,-14.3387889,0,true,switching,standard
delay,96000,128,67200,0,0,-inf,-inf,-10.65378705,0,true,switching,standard
room,96000,128,67200,0,0,-inf,-inf,-10.62714712,0,true,switching,standard
all-american,96000,128,67200,0,0,-inf,-inf,-27.71205977,0,true,switching,standard
all-british,96000,128,67200,0,0,-inf,-inf,-27.3820358,0,true,switching,standard
all-modern,96000,128,67200,0,0,-inf,-inf,-23.89363717,0,true,switching,standard
automation,96000,128,67200,0,0,-inf,-inf,-19.1627701,0,true,switching,standard
