scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,24.22221875,23.85720833,0.11626665,0.8122619674,23.66666667,0.1136,guitar,standard
pedal,48000,128,96000,3,307.3802083,265.21875,1.475425,-917.8204447,267.5520833,1.28425,guitar,standard
american,48000,128,96000,3,3327.837667,3321.397562,15.9736208,-2.791274809,3142.46875,15.08385,guitar,standard
british,48000,128,96000,3,3031.378469,3001.322479,14.55061665,-3.952954017,2978.885417,14.29865,guitar,standard
modern,48000,128,96000,3,567.1558229,564.6341146,2.72234795,-3.201420138,557.7083333,2.677,guitar,standard
compressor,48000,128,96000,3,23.80338542,23.75346875,0.11425625,1.163138035,23.80208333,0.11425,guitar,standard
delay,48000,128,96000,3,23.52777083,23.39410417,0.1129333,0.2027148627,23.48958333,0.11275,guitar,standard
room,48000,128,96000,3,24.24566667,23.29123958,0.1163792,-0.7043228292,24.01041667,0.11525,guitar,standard
all-american,48000,128,96000,3,3422.437063,3416.009552,16.4276979,-3.002128232,3366.96875,16.16145,guitar,standard
all-british,48000,128,96000,3,3381.839406,3368.702688,16.23282915,-4.723056774,3309.03125,15.88335,guitar,standard
all-modern,48000,128,96000,3,749.5516458,742.9869792,3.5978479,-8.972197866,739.6145833,3.55015,guitar,standard
automation,48000,128,96000,3,2416.857198,2415.17101,11.60091455,-314.3931372,2382.25,11.4348,guitar,standard
