scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.32248958,23.13715625,0.11194795,0.8122619674,23.3125,0.1119,guitar,standard
pedal,48000,128,96000,3,250.6119792,248.8993021,1.2029375,-917.8204447,247.21875,1.18665,guitar,standard
american,48000,128,96000,3,3197.875,3161.862417,15.3498,-2.791274809,3089.729167,14.8307,guitar,standard
british,48000,128,96000,3,3051.094615,3046.184031,14.64525415,-3.952954017,2988.09375,14.34285,guitar,standard
modern,48000,128,96000,3,578.0794271,574.617625,2.77478125,-3.201420138,563.125,2.703,guitar,standard
compressor,48000,128,96000,3,25.08072917,24.29947917,0.1203875,1.163138035,24.17708333,0.11605,guitar,standard
delay,48000,128,96000,3,25.32248958,23.66710417,0.12154795,0.2027148627,23.95833333,0.115,guitar,standard
room,48000,128,96000,3,24.1089375,23.35851042,0.1157229,-0.7043228292,23.77083333,0.1141,guitar,standard
all-american,48000,128,96000,3,3594.146271,3569.131937,17.2519021,-3.002128232,3447.072917,16.54595,guitar,standard
all-british,48000,128,96000,3,3610.562937,3511.148875,17.3307021,-4.723056774,3366.541667,16.1594,guitar,standard
all-modern,48000,128,96000,3,789.8789062,780.8797708,3.79141875,-8.972197866,749.5416667,3.5978,guitar,standard
automation,48000,128,96000,3,2514.964844,2513.901479,12.07183125,-314.3931372,2426.28125,11.64615,guitar,standard
