scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.05121875,22.9379375,0.11064585,0.9310751245,23.04166667,0.1106,guitar-mono,standard
pedal,48000,128,96000,3,244.1536458,243.6523438,1.1719375,-917.9817885,242.25,1.1628,guitar-mono,standard
american,48000,128,96000,3,3022.279948,3018.753469,14.50694375,-2.797435253,3000.03125,14.40015,guitar-mono,standard
british,48000,128,96000,3,2968.680125,2956.748698,14.2496646,-3.912325167,2933.135417,14.07905,guitar-mono,standard
modern,48000,128,96000,3,547.4713542,545.0460104,2.6278625,-3.19597186,541.875,2.601,guitar-mono,standard
compressor,48000,128,96000,3,23.49348958,22.83290625,0.11276875,1.338700048,23.28125,0.11175,guitar-mono,standard
delay,48000,128,96000,3,22.8975625,22.69964583,0.1099083,0.3256386294,22.88541667,0.10985,guitar-mono,standard
room,48000,128,96000,3,23.57161458,23.2734375,0.11314375,-0.3580064295,23.47916667,0.1127,guitar-mono,standard
all-american,48000,128,96000,3,3425.32899,3406.497396,16.44157915,-2.814791796,3378.135417,16.21505,guitar-mono,standard
all-british,48000,128,96000,3,3296.909719,3276.776042,15.82516665,-4.480423479,3261.90625,15.65715,guitar-mono,standard
all-modern,48000,128,96000,3,798.3450521,791.8945312,3.83205625,-8.504532693,776.34375,3.72645,guitar-mono,standard
automation,48000,128,96000,3,2404.946177,2379.585073,11.54374165,-315.3305707,2370.989583,11.38075,guitar-mono,standard
