scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.95529167,23.17013542,0.1149854,0.9310751245,23.91666667,0.1148,guitar-mono,standard
pedal,48000,128,96000,3,156.3988646,155.1276042,0.75071455,-917.9817885,154.40625,0.74115,guitar-mono,standard
american,48000,128,96000,3,1549.873698,1548.551219,7.43939375,-2.797435253,1534.802083,7.36705,guitar-mono,standard
british,48000,128,96000,3,1511.934458,1510.61849,7.2572854,-3.912325167,1497.302083,7.18705,guitar-mono,standard
modern,48000,128,96000,3,301.2829792,298.1085104,1.4461583,-3.19597186,298.0833333,1.4308,guitar-mono,standard
compressor,48000,128,96000,3,24.60720833,24.38064583,0.1181146,1.338700048,24.35416667,0.1169,guitar-mono,standard
delay,48000,128,96000,3,23.30729167,23.08941667,0.111875,0.3256386294,23.3125,0.1119,guitar-mono,standard
room,48000,128,96000,3,23.5625,23.49783333,0.1131,-0.3580064295,23.52083333,0.1129,guitar-mono,standard
all-american,48000,128,96000,3,1753.034292,1728.25825,8.4145646,-2.814791796,1722.03125,8.26575,guitar-mono,standard
all-british,48000,128,96000,3,1685.279073,1671.210063,8.08933955,-4.480423479,1668.927083,8.01085,guitar-mono,standard
all-modern,48000,128,96000,3,396.9952292,392.9162292,1.9055771,-8.504532693,393.6458333,1.8895,guitar-mono,standard
automation,48000,128,96000,3,1219.83724,1218.78776,5.85521875,-315.3305707,1210.510417,5.81045,guitar-mono,standard
