scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,96000,3,25.73004167,24.55382292,0.1235042,0.8122619674,23.80208333,0.11425
pedal,48000,128,96000,3,2207.406687,2162.64149,10.5955521,-917.698621,2108.916667,10.1228
american,48000,128,96000,3,9410.158417,9323.512146,45.1687604,-2.712087563,8637.520833,41.4601
british,48000,128,96000,3,8951.36675,8833.949656,42.9665604,-3.831362572,8260.802083,39.65185
modern,48000,128,96000,3,1324.210073,1081.223958,6.35620835,-2.874120134,1077.875,5.1738
compressor,48000,128,96000,3,25.31640625,24.05859375,0.12151875,1.163138035,24.05208333,0.11545
delay,48000,128,96000,3,23.45398958,23.14409375,0.11257915,0.2027148627,23.30208333,0.11185
room,48000,128,96000,3,23.12630208,23.12239583,0.11100625,-0.7043228292,23.11458333,0.11095
all-american,48000,128,96000,3,11786.2244,11429.68576,56.5738771,-3.007234202,10784.8125,51.7671
all-british,48000,128,96000,3,16203.2717,14878.72744,77.77570415,-4.66659313,11262.20833,54.0586
all-modern,48000,128,96000,3,3278.645406,3017.791667,15.73749795,-8.645663245,2595.041667,12.4562
automation,48000,128,96000,3,8929.444438,8919.086802,42.8613333,-314.4124523,7400.208333,35.521
