scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,38.00998958,32.18577083,0.18244795,0.8122619674,27.01041667,0.12965,guitar,standard
pedal,48000,128,96000,3,345.5733437,307.8567708,1.65875205,-917.8204447,260.4791667,1.2503,guitar,standard
american,48000,128,96000,3,4638.577688,4608.95226,22.2651729,-2.791274809,3369.3125,16.1727,guitar,standard
british,48000,128,96000,3,4645.408854,4517.169271,22.2979625,-3.952954017,3626.989583,17.40955,guitar,standard
modern,48000,128,96000,3,1030.018667,853.7248333,4.9440896,-3.201420138,670.7604167,3.21965,guitar,standard
compressor,48000,128,96000,3,35.06770833,29.65494792,0.168325,1.163138035,28.69791667,0.13775,guitar,standard
delay,48000,128,96000,3,36.05598958,32.96961458,0.17306875,0.2027148627,30.90625,0.14835,guitar,standard
room,48000,128,96000,3,39.18576042,37.9058125,0.18809165,-0.7043228292,31.11458333,0.14935,guitar,standard
all-american,48000,128,96000,3,5581.886292,5396.46875,26.7930542,-3.002128232,4375.802083,21.00385,guitar,standard
all-british,48000,128,96000,3,5009.874573,4919.489156,24.04739795,-4.723056774,3892.552083,18.68425,guitar,standard
all-modern,48000,128,96000,3,1010.538198,978.9522604,4.85058335,-8.972197866,838.8645833,4.02655,guitar,standard
automation,48000,128,96000,3,3263.695312,3220.451823,15.6657375,-314.3931372,2744.760417,13.17485,guitar,standard
