scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,30.05598958,26.23655208,0.14426875,0.8122619674,26.39583333,0.1267,guitar,high
pedal,48000,128,96000,3,656.0143229,645.7126771,3.14886875,-917.7012967,540.28125,2.59335,guitar,high
american,48000,128,96000,3,7892.607646,7650.494792,37.8845167,-2.71208705,6203.1875,29.7753,guitar,high
british,48000,128,96000,3,8322.342021,7360.148875,39.9472417,-3.831362636,5985.354167,28.7297,guitar,high
modern,48000,128,96000,3,1827.248271,1740.54601,8.7707917,-2.874120134,1110.916667,5.3324,guitar,high
compressor,48000,128,96000,3,28.99827083,24.17447917,0.1391917,1.163138035,24.3125,0.1167,guitar,high
delay,48000,128,96000,3,23.76910417,23.69878125,0.1140917,0.2027148627,23.76041667,0.11405,guitar,high
room,48000,128,96000,3,42.89192708,33.52430208,0.20588125,-0.7043228292,24.29166667,0.1166,guitar,high
all-american,48000,128,96000,3,9379.171437,8942.681854,45.0200229,-3.007229095,6951.145833,33.3655,guitar,high
all-british,48000,128,96000,3,7829.640625,7049.057729,37.582275,-4.666590839,6489.90625,31.15155,guitar,high
all-modern,48000,128,96000,3,1509.352,1503.456167,7.2448896,-8.645656993,1440.59375,6.91485,guitar,high
automation,48000,128,96000,3,6163.745656,5288.129771,29.58597915,-314.4129068,4780.072917,22.94435,guitar,high
