scenario,input,rate,oversampling,baseline_cpu_ns_per_frame,cpu_ns_per_frame,cpu_saving_percent,baseline_elapsed_ns_per_frame,elapsed_ns_per_frame,elapsed_saving_percent
bypass,guitar,48000,standard,23.47395833,25.6875,-9.429775919688277,24.47613542,31.867411455000003,-30.197888302907593
pedal,guitar,48000,standard,2120.109375,261.3541667,87.6726092633782,2320.7532600000004,324.5902708,86.01358117665642
american,guitar,48000,standard,8557.520833,3248.5260415000002,62.0389350502911,9509.4414065,4041.6673180000003,57.498372982903135
british,guitar,48000,standard,8251.057291500001,3359.083333,59.28905576185455,8947.6421405,3987.0308125,55.44043056378647
modern,guitar,48000,standard,1057.6822915,616.125,41.74763017671267,1201.921875,803.985896,33.10830656110656
compressor,guitar,48000,standard,26.40625,26.536458335,-0.4930966532544323,32.028208335,29.768880205000002,7.054182070906023
delay,guitar,48000,standard,24.75,27.53125,-11.237373737373746,27.284286455,30.173177080000002,-10.588111328345162
room,guitar,48000,standard,23.08333333,27.640625,-19.742779800684886,23.111109374999998,31.913843749999998,-38.08875736844632
all-american,guitar,48000,standard,10763.78646,3929.4583329999996,63.493717126380076,11822.068800000001,4648.569667,60.678881626877356
all-british,guitar,48000,standard,10793.015625,3645.9010415000002,66.21981132821718,13606.934245,4349.232646,68.03664537735112
all-modern,guitar,48000,standard,2581.322917,798.8333333,69.05333586747062,3053.278651,905.85243235,70.331812589286
automation,guitar,48000,standard,7301.984375,2606.557292,64.3034392003886,8411.415797,2965.32726,64.74639547532999
bypass,guitar,48000,high,23.47395833,25.416666665,-8.276015095916733,24.47613542,28.32508854,-15.72533022045195
pedal,guitar,48000,high,2120.109375,563.88541665,73.40300348183688,2320.7532600000004,665.8070781,71.3107339080071
american,guitar,48000,high,8557.520833,6143.494791499999,28.20940887681974,9509.4414065,7767.6228335,18.316728591538645
british,guitar,48000,high,8251.057291500001,5948.421875,27.907155836526666,8947.6421405,7691.160594000001,14.042599455478289
modern,guitar,48000,high,1057.6822915,1096.791667,-3.6976486998317126,1201.921875,1542.181427,-28.309623036023023
compressor,guitar,48000,high,26.40625,24.463541665,7.357001978698219,32.028208335,27.80664583,13.180763846807919
delay,guitar,48000,high,24.75,23.973958335,3.1355218787878836,27.284286455,24.419057295,10.501389379288417
room,guitar,48000,high,23.08333333,24.76041667,-7.265342990218837,23.111109374999998,37.04405208,-60.28677584846576
all-american,guitar,48000,high,10763.78646,6926.484375,35.65011345459188,11822.068800000001,9131.615234,22.757891292258424
all-british,guitar,48000,high,10793.015625,6543.927083500001,39.36887232570832,13606.934245,7945.144094,41.60959441014776
all-modern,guitar,48000,high,2581.322917,1475.6614585,42.83313223689944,3053.278651,1650.8862865,45.930703509183246
automation,guitar,48000,high,7301.984375,4910.114583500001,32.75643535597129,8411.415797,6767.865229,19.53952351976448
