scenario,rate,block_size,seconds,inner_repeats,outer_runs_per_variant,baseline_median_ns_per_frame,current_median_ns_per_frame,reduction_percent,baseline_median_realtime_percent,current_median_realtime_percent,baseline_min_outer_median_ns_per_frame,baseline_max_outer_median_ns_per_frame,current_min_outer_median_ns_per_frame,current_max_outer_median_ns_per_frame
bypass,44100,128,1,3,4,22.33133787,22.87273243,-2.4243713616787455,0.09848120000669999,0.1008687500163,22.27229025,22.34598639,22.08145125,23.57426304
pedal,44100,128,1,3,4,3348.5525399999997,3272.280329,2.2777665898591426,14.767116701399999,14.430756250890001,3314.831837,3400.289116,3195.562177,3317.003968
american,44100,128,1,3,4,11868.725905,11412.064445,3.847603050699988,52.34108124105,50.32720420245,11698.03855,12130.70578,10764.13265,11848.33522
british,44100,128,1,3,4,10398.88652,9767.2056915,6.074504489351817,45.8590895532,43.073377099515,10262.55574,10494.89608,9440.761519,10266.32558
modern,44100,128,1,3,4,1008.3489115,935.4006009,7.234431432219579,4.446818699714999,4.125116649969,990.4006122,1014.634354,924.4312018,944.1931293
compressor,44100,128,1,3,4,37.183945575,36.678469390000004,1.3593936231980908,0.16398119998575003,0.1617520500099,36.17439909,38.31727891,36.29442177,37.00680272
delay,44100,128,1,3,4,22.3615873,22.56801587,-0.9231391637390507,0.098614599993,0.0995249499867,22.15419501,22.80895692,22.11734694,22.768322
room,44100,128,1,3,4,22.842970525,22.39323129,1.9688299054967162,0.10073750001524999,0.0987541499889,22.41213152,23.48922902,22.12018141,22.83637188
all-american,44100,128,1,3,4,15049.027305,14228.578525,5.451839267561209,66.36621041504999,62.74803129525,14994.61263,15096.87358,13773.34846,14406.06104
all-british,44100,128,1,3,4,14224.534205,13706.892489999998,3.639076735588631,62.73019584405,60.44739588089999,14051.39551,14421.05916,13361.10356,14834.76853
all-modern,44100,128,1,3,4,3780.7827895,3713.609218,1.776710677126303,16.673252101695002,16.37701665138,3759.280045,3836.464467,3650.99585,3759.059909
automation,44100,128,1,3,4,13242.364425,12680.92499,4.239721978501587,58.398827114250004,55.9228792059,12924.55782,13486.66005,12661.82068,12856.68179
bypass,48000,128,1,3,4,23.038625,22.241760415,3.458820068471957,0.1105854,0.106760449992,22.69185417,23.5859375,22.09722917,22.32725
pedal,48000,128,1,3,4,3365.6085105,3266.2408960000002,2.952441265524308,16.1549208504,15.677956300800002,3341.387167,3422.522583,3251.565104,3280.674479
american,48000,128,1,3,4,11683.52995,11084.349395000001,5.128420584910631,56.080943760000004,53.204877096000004,11578.56598,11786.36373,10620.45487,11366.96267
british,48000,128,1,3,4,10457.66884,9840.6736045,5.899930901808903,50.196810432,47.2352333016,10362.76908,12027.68054,9303.549479,10111.52429
modern,48000,128,1,3,4,1079.8411455,933.7135521,13.532323157804694,5.1832374984000005,4.481825050079999,1014.494792,1164.636292,929.1935625,965.3515625
compressor,48000,128,1,3,4,37.779510415000004,37.580729165,0.5261615299309907,0.18134164999200003,0.18038749999200002,37.05208333,39.39497917,36.5165,38.09983333
delay,48000,128,1,3,4,23.1723125,22.470916665,3.0268702573383655,0.1112271,0.107860399992,22.76735417,23.29254167,22.2205,22.8828125
room,48000,128,1,3,4,23.197041665,22.4765625,3.1059096905751926,0.111345799992,0.1078875,23.05641667,23.64583333,22.18922917,22.72570833
all-american,48000,128,1,3,4,15011.48958,14185.49306,5.502428760304268,72.055149984,68.090366688,14862.36804,15567.94965,13930.35156,14442.14148
all-british,48000,128,1,3,4,14218.535595000001,14220.95226,-0.016996581566730562,68.248970856,68.260570848,14084.71442,14388.13194,13074.9566,16743.25869
