run,variant,scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum
1,baseline,bypass,44100,128,44100,3,22.34598639,22.25435374,0.0985458,285.6908633
1,baseline,pedal,44100,128,44100,3,3363.133039,3322.035147,14.8314167,258.5357665
1,baseline,american,44100,128,44100,3,12130.70578,11661.2944,53.4964125,211.4734235
1,baseline,british,44100,128,44100,3,10262.55574,10216.95862,45.2578708,212.6579702
1,baseline,modern,44100,128,44100,3,990.4006122,988.8577098,4.3676667,213.6805383
1,baseline,compressor,44100,128,44100,3,36.17439909,36.11489796,0.1595291,376.4014044
1,baseline,delay,44100,128,44100,3,22.15419501,22.14947846,0.0977,415.5559034
1,baseline,room,44100,128,44100,3,22.41213152,22.36961451,0.0988375,596.9018709
1,baseline,all-american,44100,128,44100,3,15096.87358,14839.16007,66.5772125,610.0550197
1,baseline,all-british,44100,128,44100,3,14337.30821,14145.75585,63.2275292,615.1031353
1,baseline,all-modern,44100,128,44100,3,3801.849955,3765.627347,16.7661583,612.7964151
1,baseline,automation,44100,128,44100,3,13064.27438,12972.30063,57.61345,609.5339754
1,baseline,bypass,48000,128,48000,3,23.03733333,22.49564583,0.1105792,310.0779225
1,baseline,pedal,48000,128,48000,3,3382.315104,3368.872396,16.2351125,279.937979
1,baseline,american,48000,128,48000,3,11685.42621,11619.29167,56.0900458,230.2409824
1,baseline,british,48000,128,48000,3,10362.76908,10321.89758,49.7412916,231.31618
1,baseline,modern,48000,128,48000,3,1142.430562,1029.802083,5.4836667,233.1967044
1,baseline,compressor,48000,128,48000,3,38.078125,37.9375,0.182775,408.6622153
1,baseline,delay,48000,128,48000,3,23.19185417,23.15972917,0.1113209,451.2978871
1,baseline,room,48000,128,48000,3,23.05641667,22.51129167,0.1106708,647.1646557
1,baseline,all-american,48000,128,48000,3,15567.94965,14948.27171,74.7261583,664.4027411
1,baseline,all-british,48000,128,48000,3,14084.71442,14050.7639,67.6066292,669.2674819
1,baseline,all-modern,48000,128,48000,3,3769.901917,3737.710062,18.0955292,667.3057267
1,baseline,automation,48000,128,48000,3,14258.68923,13311.50869,68.4417083,666.8946615
1,baseline,bypass,96000,128,96000,3,25.93619792,23.57942708,0.2489875,616.0740578
1,baseline,pedal,96000,128,96000,3,1831.764323,1793.838542,17.5849375,565.7853505
1,baseline,american,96000,128,96000,3,8535.77474,6764.469187,81.9434375,457.4806736
1,baseline,british,96000,128,96000,3,8373.158427,5346.766062,80.3823209,461.7626339
1,baseline,modern,96000,128,96000,3,567.2361042,565.5086771,5.4454666,462.813183
1,baseline,compressor,96000,128,96000,3,38.08463542,37.52560417,0.3656125,813.4098721
1,baseline,delay,96000,128,96000,3,22.66753125,22.57291667,0.2176083,898.2575246
1,baseline,room,96000,128,96000,3,24.4461875,23.5473125,0.2346834,1288.263315
1,baseline,all-american,96000,128,96000,3,7834.917094,7793.517365,75.2152041,1324.836796
1,baseline,all-british,96000,128,96000,3,7102.817271,7096.724823,68.1870458,1334.947197
1,baseline,all-modern,96000,128,96000,3,2265.473521,2010.536896,21.7485458,1335.606173
1,baseline,automation,96000,128,96000,3,6528.179688,6492.947042,62.670525,1392.57733
2,current,bypass,44100,128,44100,3,23.57426304,23.36356009,0.1039625,285.6908633
2,current,pedal,44100,128,44100,3,3300.501701,3245.844671,14.5552125,258.5357665
2,current,american,44100,128,44100,3,11413.32957,11366.97658,50.3327834,211.4734235
2,current,british,44100,128,44100,3,10266.32558,10058.94841,45.2744958,212.6579702
2,current,modern,44100,128,44100,3,924.4312018,923.9389796,4.0767416,213.6805383
2,current,compressor,44100,128,44100,3,36.67326531,35.93160998,0.1617291,376.4014044
2,current,delay,44100,128,44100,3,22.76265306,22.12113379,0.1003833,415.5559034
2,current,room,44100,128,44100,3,22.83637188,22.27136054,0.1007084,596.9018709
2,current,all-american,44100,128,44100,3,14350.48376,14307.77116,63.2856334,610.0550197
2,current,all-british,44100,128,44100,3,13664.79215,13631.69785,60.2617334,615.1031353
2,current,all-modern,44100,128,44100,3,3650.99585,3641.196145,16.1008917,612.7964151
2,current,automation,44100,128,44100,3,12856.68179,12612.3507,56.6979667,609.5339754
2,current,bypass,48000,128,48000,3,22.32725,22.1805625,0.1071708,310.0779225
2,current,pedal,48000,128,48000,3,3280.674479,3277.532125,15.7472375,279.937979
2,current,american,48000,128,48000,3,11366.96267,11257.3889,54.5614208,230.2409824
2,current,british,48000,128,48000,3,9986.461792,9913.757812,47.9350166,231.31618
2,current,modern,48000,128,48000,3,965.3515625,938.6649375,4.6336875,233.1967044
2,current,compressor,48000,128,48000,3,37.9375,37.34375,0.1821,408.6622153
2,current,delay,48000,128,48000,3,22.40189583,22.1328125,0.1075291,451.2978871
2,current,room,48000,128,48000,3,22.51822917,22.39495833,0.1080875,647.1646557
2,current,all-american,48000,128,48000,3,14442.14148,14350.32292,69.3222791,664.4027411
2,current,all-british,48000,128,48000,3,14157.9349,13705.71875,67.9580875,669.2674819
2,current,all-modern,48000,128,48000,3,3711.872396,3711.565104,17.8169875,667.3057267
2,current,automation,48000,128,48000,3,12530.03819,12457.86025,60.1441833,666.8946615
2,current,bypass,96000,128,96000,3,22.37065625,22.31727083,0.2147583,616.0740578
2,current,pedal,96000,128,96000,3,1628.115885,1625.463979,15.6299125,565.7853505
2,current,american,96000,128,96000,3,6779.285156,5782.457458,65.0811375,457.4806736
2,current,british,96000,128,96000,3,5052.654948,5022.731771,48.5054875,461.7626339
2,current,modern,96000,128,96000,3,487.8159688,486.063375,4.6830333,462.813183
2,current,compressor,96000,128,96000,3,36.4995625,35.94921875,0.3503958,813.4098721
2,current,delay,96000,128,96000,3,22.28341667,22.2578125,0.2139208,898.2575246
2,current,room,96000,128,96000,3,22.52127083,22.44313542,0.2162042,1288.263315
2,current,all-american,96000,128,96000,3,7210.937073,7179.081167,69.2249959,1324.836796
2,current,all-british,96000,128,96000,3,6871.24001,6803.678823,65.9639041,1334.947197
2,current,all-modern,96000,128,96000,3,1916.11849,1913.875,18.3947375,1335.606173
2,current,automation,96000,128,96000,3,6276.789937,6276.161458,60.2571834,1392.57733
3,current,bypass,44100,128,44100,3,22.45369615,22.3629932,0.0990208,285.6908633
3,current,pedal,44100,128,44100,3,3244.058957,3237.549138,14.3063,258.5357665
3,current,american,44100,128,44100,3,10764.13265,10741.59676,47.469825,211.4734235
3,current,british,44100,128,44100,3,9440.761519,9334.374535,41.6337583,212.6579702
3,current,modern,44100,128,44100,3,927.9903628,922.3847166,4.0924375,213.6805383
3,current,compressor,44100,128,44100,3,36.29442177,36.03646259,0.1600584,376.4014044
3,current,delay,44100,128,44100,3,22.37337868,22.37244898,0.0986666,415.5559034
3,current,room,44100,128,44100,3,22.12018141,22.111678,0.09755,596.9018709
3,current,all-american,44100,128,44100,3,13773.34846,13722.44424,60.7404667,610.0550197
3,current,all-british,44100,128,44100,3,13361.10356,13112.21844,58.9224667,615.1031353
3,current,all-modern,44100,128,44100,3,3686.655329,3672.326145,16.25815,612.7964151
3,current,automation,44100,128,44100,3,12661.82068,12573.031,55.8386292,609.5339754
3,current,bypass,48000,128,48000,3,22.09722917,22.0876875,0.1060667,310.0779225
3,current,pedal,48000,128,48000,3,3251.565104,3249.950521,15.6075125,279.937979
3,current,american,48000,128,48000,3,10620.45487,10592.2309,50.9781834,230.2409824
3,current,british,48000,128,48000,3,9303.549479,9301.782125,44.6570375,231.31618
3,current,modern,48000,128,48000,3,932.8559167,930.7404583,4.4777084,233.1967044
3,current,compressor,48000,128,48000,3,38.09983333,37.06683333,0.1828792,408.6622153
3,current,delay,48000,128,48000,3,22.5399375,22.52777083,0.1081917,451.2978871
3,current,room,48000,128,48000,3,22.72570833,22.3915,0.1090834,647.1646557
3,current,all-american,48000,128,48000,3,13930.35156,13651.73958,66.8656875,664.4027411
3,current,all-british,48000,128,48000,3,13074.9566,13061.54948,62.7597917,669.2674819
3,current,all-modern,48000,128,48000,3,3665.171875,3661.990458,17.592825,667.3057267
3,current,automation,48000,128,48000,3,14244.99652,12437.12065,68.3759833,666.8946615
3,current,bypass,96000,128,96000,3,22.5711875,22.38107292,0.2166834,616.0740578
3,current,pedal,96000,128,96000,3,1641.049479,1637.018667,15.754075,565.7853505
3,current,american,96000,128,96000,3,5382.767365,5340.352,51.6745667,457.4806736
3,current,british,96000,128,96000,3,4705.943583,4696.817708,45.1770584,461.7626339
3,current,modern,96000,128,96000,3,491.3606771,491.1085104,4.7170625,462.813183
3,current,compressor,96000,128,96000,3,37.03082292,36.93619792,0.3554959,813.4098721
3,current,delay,96000,128,96000,3,22.68663542,22.6254375,0.2177917,898.2575246
3,current,room,96000,128,96000,3,22.60373958,22.38714583,0.2169959,1288.263315
3,current,all-american,96000,128,96000,3,6927.227,6910.112854,66.5013792,1324.836796
3,current,all-british,96000,128,96000,3,6567.041229,6565.581594,63.0435958,1334.947197
3,current,all-modern,96000,128,96000,3,1939.621531,1921.150167,18.6203667,1335.606173
3,current,automation,96000,128,96000,3,6330.80599,6296.433594,60.7757375,1392.57733
4,baseline,bypass,44100,128,44100,3,22.33936508,22.22505669,0.0985166,285.6908633
4,baseline,pedal,44100,128,44100,3,3333.972041,3327.838254,14.7028167,258.5357665
4,baseline,american,44100,128,44100,3,11698.03855,11677.48771,51.58835,211.4734235
4,baseline,british,44100,128,44100,3,10320.59429,10309.02118,45.5138208,212.6579702
4,baseline,modern,44100,128,44100,3,1002.861859,1002.4622,4.4226208,213.6805383
4,baseline,compressor,44100,128,44100,3,36.85183673,36.35675737,0.1625166,376.4014044
4,baseline,delay,44100,128,44100,3,22.30537415,22.27986395,0.0983667,415.5559034
4,baseline,room,44100,128,44100,3,22.87038549,22.31104308,0.1008584,596.9018709
4,baseline,all-american,44100,128,44100,3,14994.61263,14969.20068,66.1262417,610.0550197
4,baseline,all-british,44100,128,44100,3,14051.39551,14042.13719,61.9666542,615.1031353
4,baseline,all-modern,44100,128,44100,3,3759.280045,3756.686508,16.578425,612.7964151
4,baseline,automation,44100,128,44100,3,12924.55782,12847.46222,56.9973,609.5339754
4,baseline,bypass,48000,128,48000,3,23.5859375,23.36025,0.1132125,310.0779225
4,baseline,pedal,48000,128,48000,3,3348.901917,3329.966146,16.0747292,279.937979
4,baseline,american,48000,128,48000,3,11578.56598,11538.44531,55.5771167,230.2409824
4,baseline,british,48000,128,48000,3,10519.9401,10403.27692,50.4957125,231.31618
4,baseline,modern,48000,128,48000,3,1017.251729,1010.915792,4.8828083,233.1967044
4,baseline,compressor,48000,128,48000,3,37.05208333,36.9305625,0.17785,408.6622153
4,baseline,delay,48000,128,48000,3,22.76735417,22.32204167,0.1092833,451.2978871
4,baseline,room,48000,128,48000,3,23.64583333,22.88195833,0.1135,647.1646557
4,baseline,all-american,48000,128,48000,3,14911.98958,14841.9019,71.57755,664.4027411
4,baseline,all-british,48000,128,48000,3,14223.23004,14099.56077,68.2715042,669.2674819
4,baseline,all-modern,48000,128,48000,3,3764.513896,3753.452271,18.0696667,667.3057267
4,baseline,automation,48000,128,48000,3,12855.2014,12831.26996,61.7049667,666.8946615
4,baseline,bypass,96000,128,96000,3,23.28559375,23.27734375,0.2235417,616.0740578
4,baseline,pedal,96000,128,96000,3,1893.068573,1696.416229,18.1734583,565.7853505
4,baseline,american,96000,128,96000,3,5856.432292,5845.196177,56.22175,457.4806736
4,baseline,british,96000,128,96000,3,5230.167104,5227.774312,50.2096042,461.7626339
4,baseline,modern,96000,128,96000,3,556.8216146,556.5455729,5.3454875,462.813183
4,baseline,compressor,96000,128,96000,3,37.15234375,36.54383333,0.3566625,813.4098721
4,baseline,delay,96000,128,96000,3,22.42926042,22.41276042,0.2153209,898.2575246
4,baseline,room,96000,128,96000,3,22.31858333,22.29080208,0.2142584,1288.263315
4,baseline,all-american,96000,128,96000,3,7463.756073,7435.88325,71.6520583,1324.836796
4,baseline,all-british,96000,128,96000,3,7201.260417,7111.730469,69.1321,1334.947197
4,baseline,all-modern,96000,128,96000,3,1981.154073,1974.207458,19.0190791,1335.606173
4,baseline,automation,96000,128,96000,3,6463.1645,6433.398,62.0463792,1392.57733
5,current,bypass,44100,128,44100,3,22.08145125,22.03514739,0.0973792,285.6908633
5,current,pedal,44100,128,44100,3,3195.562177,3185.031179,14.0924292,258.5357665
5,current,american,44100,128,44100,3,11848.33522,10573.12358,52.2511583,211.4734235
5,current,british,44100,128,44100,3,9559.061791,9383.438209,42.1554625,212.6579702
5,current,modern,44100,128,44100,3,942.810839,935.8654649,4.1577958,213.6805383
5,current,compressor,44100,128,44100,3,36.68367347,36.60526077,0.161775,376.4014044
5,current,delay,44100,128,44100,3,22.768322,22.46977324,0.1004083,415.5559034
5,current,room,44100,128,44100,3,22.42630385,22.20804989,0.0989,596.9018709
5,current,all-american,44100,128,44100,3,14106.67329,14101.01379,62.2104292,610.0550197
5,current,all-british,44100,128,44100,3,14834.76853,13150.88152,65.4213292,615.1031353
5,current,all-modern,44100,128,44100,3,3740.563107,3707.951633,16.4958833,612.7964151
5,current,automation,44100,128,44100,3,12685.33542,12565.47619,55.9423292,609.5339754
5,current,bypass,48000,128,48000,3,22.20920833,22.07377083,0.1066042,310.0779225
5,current,pedal,48000,128,48000,3,3260.86025,3241.546,15.6521292,279.937979
5,current,american,48000,128,48000,3,10843.04862,10835.53385,52.0466334,230.2409824
5,current,british,48000,128,48000,3,9694.885417,9262.222229,46.53545,231.31618
5,current,modern,48000,128,48000,3,929.1935625,924.8029583,4.4601291,233.1967044
5,current,compressor,48000,128,48000,3,36.5165,36.51129167,0.1752792,408.6622153
5,current,delay,48000,128,48000,3,22.8828125,22.671,0.1098375,451.2978871
5,current,room,48000,128,48000,3,22.43489583,22.3524375,0.1076875,647.1646557
5,current,all-american,48000,128,48000,3,14000.47831,13677.89323,67.2022959,664.4027411
5,current,all-british,48000,128,48000,3,16743.25869,13555.36806,80.3676417,669.2674819
5,current,all-modern,48000,128,48000,3,3891.246521,3875.905375,18.6779833,667.3057267
5,current,automation,48000,128,48000,3,12745.29081,12730.94792,61.1773959,666.8946615
5,current,bypass,96000,128,96000,3,23.10416667,22.95530208,0.2218,616.0740578
5,current,pedal,96000,128,96000,3,1662.476125,1662.004771,15.9597708,565.7853505
5,current,american,96000,128,96000,3,5447.324656,5418.847656,52.2943167,457.4806736
5,current,british,96000,128,96000,3,5771.683156,5077.097656,55.4081583,461.7626339
5,current,modern,96000,128,96000,3,507.5503542,504.0711771,4.8724834,462.813183
5,current,compressor,96000,128,96000,3,37.43577083,37.35894792,0.3593834,813.4098721
5,current,delay,96000,128,96000,3,23.1566875,23.0850625,0.2223042,898.2575246
5,current,room,96000,128,96000,3,23.33854167,22.97483333,0.22405,1288.263315
5,current,all-american,96000,128,96000,3,7087.615885,7036.579854,68.0411125,1324.836796
5,current,all-british,96000,128,96000,3,6705.67274,6704.093313,64.3744583,1334.947197
5,current,all-modern,96000,128,96000,3,1960.602,1951.213115,18.8217792,1335.606173
5,current,automation,96000,128,96000,3,6347.684021,6319.505635,60.9377666,1392.57733
6,baseline,bypass,44100,128,44100,3,22.32331066,22.26569161,0.0984458,285.6908633
6,baseline,pedal,44100,128,44100,3,3314.831837,3303.674422,14.6184084,258.5357665
6,baseline,american,44100,128,44100,3,11723.12925,11618.9229,51.699,211.4734235
6,baseline,british,44100,128,44100,3,10477.17875,10410.27304,46.2043583,212.6579702
6,baseline,modern,44100,128,44100,3,1014.634354,1011.035533,4.4745375,213.6805383
6,baseline,compressor,44100,128,44100,3,37.51605442,37.35353741,0.1654458,376.4014044
6,baseline,delay,44100,128,44100,3,22.80895692,22.15136054,0.1005875,415.5559034
6,baseline,room,44100,128,44100,3,22.81555556,22.42725624,0.1006166,596.9018709
6,baseline,all-american,44100,128,44100,3,15029.23846,14950.99868,66.2789416,610.0550197
6,baseline,all-british,44100,128,44100,3,14111.7602,14069.72127,62.2328625,615.1031353
6,baseline,all-modern,44100,128,44100,3,3759.715624,3757.331814,16.5803459,612.7964151
6,baseline,automation,44100,128,44100,3,13486.66005,13015.66798,59.4761708,609.5339754
6,baseline,bypass,48000,128,48000,3,23.03991667,23.03560417,0.1105916,310.0779225
6,baseline,pedal,48000,128,48000,3,3341.387167,3331.039062,16.0386584,279.937979
6,baseline,american,48000,128,48000,3,11681.63369,11625.59896,56.0718417,230.2409824
6,baseline,british,48000,128,48000,3,10395.39758,10330.921,49.8979084,231.31618
6,baseline,modern,48000,128,48000,3,1014.494792,1005.178833,4.869575,233.1967044
6,baseline,compressor,48000,128,48000,3,37.48089583,37.47570833,0.1799083,408.6622153
6,baseline,delay,48000,128,48000,3,23.15277083,23.1493125,0.1111333,451.2978871
6,baseline,room,48000,128,48000,3,23.1484375,23.14583333,0.1111125,647.1646557
6,baseline,all-american,48000,128,48000,3,15110.98958,15082.08246,72.53275,664.4027411
6,baseline,all-british,48000,128,48000,3,14388.13194,14195.17969,69.0630333,669.2674819
6,baseline,all-modern,48000,128,48000,3,3859.551208,3807.285583,18.5258458,667.3057267
6,baseline,automation,48000,128,48000,3,13059.07812,12930.11979,62.683575,666.8946615
6,baseline,bypass,96000,128,96000,3,22.757375,22.11979167,0.2184708,616.0740578
6,baseline,pedal,96000,128,96000,3,1712.855469,1710.82075,16.4434125,565.7853505
6,baseline,american,96000,128,96000,3,6004.632812,5879.191833,57.644475,457.4806736
6,baseline,british,96000,128,96000,3,5322.672302,5310.746094,51.0976541,461.7626339
6,baseline,modern,96000,128,96000,3,569.874125,564.8372396,5.4707916,462.813183
6,baseline,compressor,96000,128,96000,3,37.95094792,37.625,0.3643291,813.4098721
6,baseline,delay,96000,128,96000,3,22.78471875,22.58376042,0.2187333,898.2575246
6,baseline,room,96000,128,96000,3,23.32552083,22.6171875,0.223925,1288.263315
6,baseline,all-american,96000,128,96000,3,8402.73524,8235.764323,80.6662583,1324.836796
6,baseline,all-british,96000,128,96000,3,7306.140188,7191.987417,70.1389458,1334.947197
6,baseline,all-modern,96000,128,96000,3,2060.207469,2041.521698,19.7779917,1335.606173
6,baseline,automation,96000,128,96000,3,6703.419271,6697.977427,64.352825,1392.57733
7,baseline,bypass,44100,128,44100,3,22.27229025,22.2675737,0.0982208,285.6908633
7,baseline,pedal,44100,128,44100,3,3400.289116,3379.598458,14.995275,258.5357665
7,baseline,american,44100,128,44100,3,12014.32256,11795.11338,52.9831625,211.4734235
7,baseline,british,44100,128,44100,3,10494.89608,10434.13454,46.2824917,212.6579702
7,baseline,modern,44100,128,44100,3,1013.835964,1007.36678,4.4710166,213.6805383
7,baseline,compressor,44100,128,44100,3,38.31727891,36.20936508,0.1689792,376.4014044
7,baseline,delay,44100,128,44100,3,22.41780045,22.39986395,0.0988625,415.5559034
7,baseline,room,44100,128,44100,3,23.48922902,22.21938776,0.1035875,596.9018709
7,baseline,all-american,44100,128,44100,3,15068.81615,15048.70841,66.4534792,610.0550197
7,baseline,all-british,44100,128,44100,3,14421.05916,14356.63077,63.5968709,615.1031353
7,baseline,all-modern,44100,128,44100,3,3836.464467,3821.330295,16.9188083,612.7964151
7,baseline,automation,44100,128,44100,3,13420.45447,13273.42404,59.1842042,609.5339754
7,baseline,bypass,48000,128,48000,3,22.69185417,22.33766667,0.1089209,310.0779225
7,baseline,pedal,48000,128,48000,3,3422.522583,3385.07725,16.4281084,279.937979
7,baseline,american,48000,128,48000,3,11786.36373,11639.51737,56.5745459,230.2409824
7,baseline,british,48000,128,48000,3,12027.68054,11646.51737,57.7328666,231.31618
7,baseline,modern,48000,128,48000,3,1164.636292,1033.846354,5.5902542,233.1967044
7,baseline,compressor,48000,128,48000,3,39.39497917,37.69010417,0.1890959,408.6622153
7,baseline,delay,48000,128,48000,3,23.29254167,23.23177083,0.1118042,451.2978871
7,baseline,room,48000,128,48000,3,23.24564583,23.22483333,0.1115791,647.1646557
7,baseline,all-american,48000,128,48000,3,14862.36804,14842.58333,71.3393666,664.4027411
7,baseline,all-british,48000,128,48000,3,14213.84115,14136.93923,68.2264375,669.2674819
7,baseline,all-modern,48000,128,48000,3,3806.54775,3800.132812,18.2714292,667.3057267
7,baseline,automation,48000,128,48000,3,13275.87848,12914.92188,63.7242167,666.8946615
7,baseline,bypass,96000,128,96000,3,22.26996875,22.26345833,0.2137917,616.0740578
7,baseline,pedal,96000,128,96000,3,1688.336812,1687.922313,16.2080334,565.7853505
7,baseline,american,96000,128,96000,3,5877.901042,5860.752604,56.42785,457.4806736
7,baseline,british,96000,128,96000,3,5281.475688,5246.488281,50.7021666,461.7626339
7,baseline,modern,96000,128,96000,3,571.6072083,569.2486979,5.4874292,462.813183
7,baseline,compressor,96000,128,96000,3,38.80208333,36.62153125,0.3725,813.4098721
7,baseline,delay,96000,128,96000,3,23.59375,23.07291667,0.2265,898.2575246
7,baseline,room,96000,128,96000,3,23.21266667,23.11675,0.2228416,1288.263315
7,baseline,all-american,96000,128,96000,3,7578.322479,7539.68576,72.7518958,1324.836796
7,baseline,all-british,96000,128,96000,3,7120.415365,7110.322917,68.3559875,1334.947197
7,baseline,all-modern,96000,128,96000,3,1997.360677,1979.838115,19.1746625,1335.606173
7,baseline,automation,96000,128,96000,3,6566.810333,6548.012146,63.0413792,1392.57733
8,current,bypass,44100,128,44100,3,23.29176871,23.12736961,0.1027167,285.6908633
8,current,pedal,44100,128,44100,3,3317.003968,3258.843537,14.6279875,258.5357665
8,current,american,44100,128,44100,3,11410.79932,11385.60846,50.321625,211.4734235
8,current,british,44100,128,44100,3,9975.349592,9938.082018,43.9912917,212.6579702
8,current,modern,44100,128,44100,3,944.1931293,943.3938095,4.1638917,213.6805383
8,current,compressor,44100,128,44100,3,37.00680272,36.94160998,0.1632,376.4014044
8,current,delay,44100,128,44100,3,22.11734694,22.11639456,0.0975375,415.5559034
8,current,room,44100,128,44100,3,22.36015873,22.35827664,0.0986083,596.9018709
8,current,all-american,44100,128,44100,3,14406.06104,14378.85959,63.5307292,610.0550197
8,current,all-british,44100,128,44100,3,13748.99283,13680.92875,60.6330584,615.1031353
8,current,all-modern,44100,128,44100,3,3759.059909,3708.695193,16.5774542,612.7964151
8,current,automation,44100,128,44100,3,12676.51456,12592.87415,55.9034292,609.5339754
8,current,bypass,48000,128,48000,3,22.2743125,22.124125,0.1069167,310.0779225
8,current,pedal,48000,128,48000,3,3271.621542,3266.967021,15.7037834,279.937979
8,current,american,48000,128,48000,3,11325.65017,11248.3151,54.3631208,230.2409824
8,current,british,48000,128,48000,3,10111.52429,9967.993062,48.5353166,231.31618
8,current,modern,48000,128,48000,3,934.5711875,934.1362708,4.4859417,233.1967044
8,current,compressor,48000,128,48000,3,37.22395833,35.9835,0.178675,408.6622153
8,current,delay,48000,128,48000,3,22.2205,22.20227083,0.1066584,451.2978871
8,current,room,48000,128,48000,3,22.18922917,22.18316667,0.1065083,647.1646557
8,current,all-american,48000,128,48000,3,14370.50781,14308.67533,68.9784375,664.4027411
